iter	Passed	Remaining
0	0	575
1	1	967
2	3	1121
3	4	1194
4	5	1065
5	6	1122
6	7	1092
7	9	1150
8	10	1126
9	10	1077
10	12	1097
11	13	1114
12	14	1132
13	16	1151
14	17	1162
15	19	1178
16	20	1186
17	21	1157
18	22	1172
19	24	1198
20	25	1203
21	27	1209
22	28	1214
23	29	1219
24	31	1220
25	32	1223
26	34	1228
27	35	1228
28	36	1233
29	38	1237
30	39	1240
31	41	1246
32	42	1250
33	44	1250
34	45	1252
35	46	1252
36	47	1240
37	49	1245
38	50	1246
39	52	1249
40	53	1252
41	55	1255
42	56	1257
43	57	1248
44	59	1254
45	60	1255
46	62	1259
47	63	1258
48	64	1258
49	66	1259
50	67	1259
51	69	1259
52	70	1259
53	71	1259
54	73	1259
55	74	1261
56	76	1262
57	77	1261
58	79	1265
59	80	1265
60	82	1267
61	83	1266
62	85	1264
63	86	1263
64	87	1264
65	89	1264
66	90	1262
67	92	1261
68	92	1252
69	94	1250
70	95	1249
71	96	1248
72	98	1256
73	100	1257
74	101	1256
75	103	1255
76	104	1258
77	106	1257
78	107	1258
79	109	1258
80	110	1256
81	112	1255
82	113	1255
83	115	1254
84	116	1254
85	117	1252
86	119	1251
87	120	1251
88	122	1250
89	123	1251
90	125	1250
91	126	1249
92	127	1244
93	128	1241
94	130	1240
95	131	1238
96	132	1236
97	134	1235
98	135	1233
99	137	1233
100	138	1231
101	139	1232
102	141	1230
103	142	1228
104	143	1226
105	145	1228
106	147	1228
107	148	1228
108	149	1226
109	151	1224
110	152	1224
111	154	1223
112	155	1222
113	157	1221
114	158	1220
115	159	1218
116	161	1217
117	162	1215
118	164	1214
119	165	1213
120	166	1211
121	168	1210
122	169	1209
123	171	1208
124	172	1207
125	173	1205
126	175	1203
127	176	1202
128	177	1200
129	179	1199
130	180	1198
131	181	1196
132	183	1195
133	184	1194
134	186	1194
135	188	1194
136	189	1193
137	191	1193
138	192	1192
139	194	1192
140	195	1191
141	197	1191
142	198	1190
143	200	1190
144	201	1190
145	203	1190
146	204	1189
147	206	1188
148	208	1188
149	209	1188
150	211	1187
151	212	1186
152	214	1185
153	215	1184
154	217	1183
155	218	1182
156	220	1181
157	221	1181
158	223	1181
159	224	1179
160	226	1178
161	227	1179
162	229	1178
163	230	1176
164	232	1176
165	233	1174
166	235	1173
167	236	1173
168	238	1172
169	240	1171
170	241	1170
171	243	1170
172	244	1169
173	246	1168
174	247	1168
175	249	1166
176	250	1166
177	252	1165
178	253	1164
179	255	1163
180	257	1163
181	258	1161
182	260	1160
183	261	1160
184	263	1159
185	264	1159
186	266	1158
187	272	1177
188	274	1176
189	275	1175
190	277	1174
191	278	1173
192	280	1172
193	281	1171
194	283	1170
195	285	1169
196	286	1168
197	288	1167
198	289	1167
199	291	1166
200	293	1164
201	294	1164
202	296	1163
203	297	1161
204	299	1161
205	301	1160
206	302	1159
207	304	1158
208	305	1157
209	307	1156
210	308	1155
211	310	1153
212	312	1153
213	313	1152
214	315	1150
215	317	1151
216	318	1150
217	320	1148
218	321	1147
219	323	1147
220	325	1147
221	327	1146
222	328	1145
223	330	1143
224	331	1141
225	333	1142
226	335	1141
227	337	1141
228	338	1140
229	340	1139
230	342	1138
231	343	1137
232	345	1136
233	346	1135
234	348	1134
235	350	1133
236	351	1132
237	353	1132
238	355	1131
239	357	1131
240	358	1130
241	360	1128
242	361	1127
243	363	1125
244	365	1124
245	366	1124
246	368	1122
247	369	1121
248	371	1120
249	373	1119
250	374	1118
251	376	1117
252	378	1116
253	379	1115
254	382	1116
255	383	1115
256	385	1114
257	387	1113
258	388	1111
259	390	1110
260	391	1109
261	393	1107
262	394	1106
263	396	1105
264	398	1104
265	400	1104
266	401	1102
267	403	1101
268	404	1100
269	406	1098
270	407	1097
271	409	1095
272	411	1094
273	412	1093
274	414	1091
275	415	1090
276	417	1089
277	418	1087
278	420	1086
279	422	1085
280	423	1083
281	425	1082
282	426	1081
283	428	1080
284	429	1078
285	431	1077
286	433	1076
287	434	1074
288	436	1073
289	438	1072
290	439	1071
291	441	1070
292	442	1068
293	444	1067
294	446	1066
295	448	1065
296	449	1064
297	451	1062
298	452	1061
299	454	1060
300	455	1058
301	457	1057
302	459	1055
303	460	1054
304	462	1053
305	463	1051
306	465	1051
307	467	1050
308	468	1048
309	470	1047
310	472	1045
311	473	1044
312	475	1043
313	476	1041
314	478	1040
315	480	1039
316	481	1037
317	483	1036
318	484	1034
319	486	1033
320	487	1031
321	489	1030
322	490	1028
323	492	1027
324	494	1026
325	495	1025
326	497	1023
327	499	1022
328	500	1021
329	502	1020
330	503	1018
331	505	1017
332	507	1015
333	508	1014
334	510	1012
335	511	1011
336	513	1010
337	514	1008
338	516	1006
339	517	1005
340	519	1004
341	521	1002
342	522	1001
343	524	999
344	525	998
345	527	997
346	528	995
347	530	993
348	532	992
349	533	991
350	535	989
351	536	988
352	538	986
353	539	985
354	541	983
355	542	982
356	544	980
357	546	979
358	547	977
359	549	976
360	550	974
361	552	973
362	553	971
363	555	970
364	556	968
365	558	967
366	559	965
367	561	963
368	562	962
369	564	960
370	565	959
371	567	958
372	569	956
373	570	954
374	572	953
375	573	952
376	575	950
377	576	949
378	578	947
379	579	946
380	581	944
381	583	943
382	584	941
383	586	940
384	587	938
385	589	936
386	590	935
387	592	934
388	593	932
389	595	931
390	596	929
391	598	927
392	599	926
393	601	925
394	603	923
395	604	922
396	606	920
397	607	919
398	609	917
399	610	916
400	612	914
401	613	913
402	615	911
403	616	910
404	618	908
405	620	907
406	622	906
407	623	904
408	625	903
409	626	902
410	628	900
411	629	899
412	631	897
413	632	895
414	634	894
415	636	893
416	637	891
417	639	889
418	640	888
419	642	886
420	643	885
421	645	883
422	646	881
423	647	880
424	649	878
425	650	876
426	651	874
427	653	873
428	654	871
429	656	869
430	657	868
431	659	866
432	660	864
433	661	863
434	663	861
435	664	859
436	666	858
437	667	856
438	668	854
439	670	853
440	671	851
441	673	850
442	674	848
443	676	846
444	677	844
445	678	843
446	680	841
447	686	845
448	688	844
449	689	842
450	691	841
451	692	839
452	693	837
453	695	836
454	696	834
455	697	832
456	699	830
457	700	829
458	702	827
459	703	826
460	705	824
461	706	822
462	707	821
463	709	819
464	710	817
465	712	816
466	713	814
467	714	812
468	716	810
469	717	809
470	719	807
471	720	805
472	721	804
473	723	802
474	724	801
475	726	799
476	727	797
477	729	796
478	731	795
479	732	793
480	734	792
481	735	790
482	737	788
483	738	787
484	740	785
485	741	784
486	742	782
487	744	780
488	745	779
489	746	777
490	748	775
491	749	774
492	751	772
493	752	770
494	753	769
495	755	767
496	756	765
497	758	764
498	759	762
499	760	760
500	762	759
501	763	757
502	765	755
503	766	754
504	767	752
505	769	751
506	770	749
507	772	748
508	774	746
509	775	745
510	776	743
511	778	741
512	779	740
513	781	738
514	782	737
515	784	735
516	785	733
517	787	732
518	789	731
519	790	729
520	791	728
521	793	726
522	794	724
523	796	723
524	797	721
525	798	719
526	800	718
527	801	716
528	803	715
529	804	713
530	805	711
531	807	710
532	808	708
533	809	706
534	811	705
535	812	703
536	814	701
537	815	700
538	816	698
539	818	697
540	819	695
541	821	693
542	822	692
543	823	690
544	825	688
545	826	687
546	827	685
547	829	684
548	830	682
549	832	680
550	833	679
551	834	677
552	836	675
553	837	674
554	839	672
555	840	671
556	841	669
557	843	667
558	844	666
559	846	664
560	847	663
561	849	661
562	850	660
563	852	658
564	853	657
565	854	655
566	856	653
567	857	652
568	858	650
569	860	649
570	861	647
571	863	645
572	864	644
573	865	642
574	867	641
575	868	639
576	870	637
577	871	636
578	872	634
579	874	633
580	875	631
581	877	629
582	878	628
583	879	626
584	881	625
585	882	623
586	884	622
587	885	620
588	886	618
589	888	617
590	889	615
591	891	614
592	892	612
593	893	611
594	895	609
595	896	607
596	897	606
597	899	604
598	900	602
599	901	601
600	903	599
601	904	598
602	906	596
603	907	595
604	909	593
605	910	592
606	912	590
607	913	589
608	915	587
609	916	586
610	918	584
611	919	583
612	921	581
613	922	579
614	923	578
615	925	576
616	926	575
617	928	573
618	929	572
619	930	570
620	932	569
621	933	567
622	935	565
623	936	564
624	937	562
625	939	561
626	940	559
627	941	557
628	943	556
629	944	554
630	946	553
631	947	551
632	949	550
633	950	548
634	952	547
635	953	545
636	954	544
637	956	542
638	957	541
639	959	539
640	960	537
641	961	536
642	963	534
643	964	533
644	966	531
645	967	530
646	969	528
647	970	527
648	971	525
649	973	524
650	974	522
651	976	520
652	977	519
653	978	517
654	980	516
655	981	514
656	983	513
657	984	511
658	985	510
659	987	508
660	988	507
661	990	505
662	991	504
663	993	502
664	994	500
665	995	499
666	997	497
667	998	496
668	999	494
669	1001	493
670	1002	491
671	1004	490
672	1005	488
673	1006	486
674	1008	485
675	1009	483
676	1010	482
677	1012	480
678	1013	479
679	1015	477
