epoch,step,min,max,mean,std
1,10000,-0.07140398025512695,0.04882999509572983,-0.000492000428494066,0.03321921080350876
2,20000,-0.10122977942228317,0.04965584725141525,-0.0004528721619863063,0.03022872656583786
3,30000,-0.14341574907302856,0.044919420033693314,-0.004113191273063421,0.041575800627470016
4,40000,-0.047922223806381226,0.04856252670288086,-0.0006510246312245727,0.02622043341398239
5,50000,-0.2001686990261078,0.04897667467594147,-0.00020300783216953278,0.05484521761536598
6,60000,-0.07387246936559677,0.04853504151105881,0.0026792266871780157,0.03767969459295273
7,70000,-0.07645156979560852,0.04487375542521477,-0.0001973276084754616,0.032359253615140915
8,80000,-0.07815898209810257,0.0506523959338665,0.0002483043062966317,0.03938309848308563
9,90000,-0.07889800518751144,0.04474391043186188,0.0009401972056366503,0.0332147553563118
10,100000,-0.07494483143091202,0.049135565757751465,0.0009689241996966302,0.031199978664517403
11,110000,-0.10838060081005096,0.045280881226062775,2.9436567274387926e-05,0.040989480912685394
12,120000,-0.08280932903289795,0.04997256398200989,0.0003469135845080018,0.039790794253349304
13,130000,-0.13771413266658783,0.0516035333275795,0.0006474615656770766,0.043557554483413696
14,140000,-0.04682041332125664,0.044756993651390076,-0.0024479066487401724,0.0277350265532732
15,150000,-0.07426396757364273,0.047431930899620056,0.00036140604061074555,0.03991391882300377
16,160000,-0.07578108459711075,0.04964344576001167,0.0015049035428091884,0.03468560054898262
17,170000,-0.17016412317752838,0.0451061837375164,0.0008082777494564652,0.052708305418491364
18,180000,-0.10513152927160263,0.05231810361146927,-0.0009167848038487136,0.037356067448854446
19,190000,-0.05604829266667366,0.0477324053645134,-0.0005028869491070509,0.03106747567653656
20,200000,-0.04715755581855774,0.04489855468273163,0.0006151114939711988,0.029440756887197495
