epoch,step,min,max,mean,std
1,10000,-0.27349853515625,0.28079819679260254,-5.461848559207283e-05,0.016521690413355827
2,20000,-0.14468850195407867,0.14549937844276428,-0.00015912244271021336,0.01047388557344675
3,30000,-0.06091035157442093,0.0616823211312294,1.3902072169003077e-05,0.005174494348466396
4,40000,-0.0679113119840622,0.1030292734503746,8.19969063741155e-05,0.006200537085533142
5,50000,-0.026083771139383316,0.028953293338418007,2.6242314561386593e-05,0.002086661523208022
6,60000,-0.020916445180773735,0.0255068838596344,3.156869934173301e-05,0.0018469461938366294
7,70000,-0.023473061621189117,0.008769703097641468,-1.7399490388925187e-05,0.0009704586118459702
8,80000,-0.013751547783613205,0.02647194266319275,3.473399192444049e-05,0.001398814027197659
9,90000,-0.03534649312496185,0.06184164434671402,6.759832467650995e-05,0.0032200883142650127
10,100000,-0.01023468654602766,0.012880290858447552,8.044568858167622e-06,0.0008903738344088197
11,110000,-0.029244335368275642,0.03836987540125847,4.283342059352435e-05,0.0022924828808754683
12,120000,-0.020348379388451576,0.012522740289568901,-3.496548379189335e-05,0.00116731075104326
13,130000,-0.010530497878789902,0.02197997272014618,3.899767034454271e-05,0.0011244999477639794
14,140000,-0.01713482104241848,0.026355663314461708,1.3002356354263611e-05,0.001244868035428226
15,150000,-0.0379415825009346,0.05343260616064072,8.73049211804755e-05,0.0029537903610616922
16,160000,-0.021895531564950943,0.024196095764636993,1.985956623684615e-05,0.0016570844454690814
17,170000,-0.033600278198719025,0.044063009321689606,6.387536996044219e-05,0.002302511828020215
18,180000,-0.03047315590083599,0.04973013699054718,3.550102701410651e-05,0.0020940143149346113
19,190000,-0.013517485931515694,0.01492114644497633,2.6357984097558074e-05,0.00099958386272192
20,200000,-0.06324005872011185,0.05863747000694275,-7.889100379543379e-05,0.0034087765961885452
