cluster,cluster_size,Age_mean,Age_median,Gender,Education level,Marital status,Occupation Group,Region,Number of Children_mean,Number of Children_median,Number of Vehicles_mean,Number of Vehicles_median,Savings Account_mean,Savings Account_median,Savings Account Subgroup_mean,Savings Account Subgroup_median,Health Insurance_mean,Health Insurance_median,Lending_mean,Lending_median,Payment_mean,Payment_median,Service_mean,Service_median,Business Lending_mean,Business Lending_median,Deposit Account_mean,Deposit Account_median,Deposit Account Balance_mean,Deposit Account Balance_median,Deposit Account Transactions_mean,Deposit Account Transactions_median,Deposit Account Transactions AVG_mean,Deposit Account Transactions AVG_median,Deposit Account Transactions MIN_mean,Deposit Account Transactions MIN_median,Deposit Account Transactions MAX_mean,Deposit Account Transactions MAX_median,Deposit Account Inflow_mean,Deposit Account Inflow_median,Deposit Account Inflow MIN_mean,Deposit Account Inflow MIN_median,Deposit Account Inflow MAX_mean,Deposit Account Inflow MAX_median,Deposit Account Outflow_mean,Deposit Account Outflow_median,Deposit Account Outflow MIN_mean,Deposit Account Outflow MIN_median,Deposit Account Outflow MAX_mean,Deposit Account Outflow MAX_median,Deposit Account Inflow Amount_mean,Deposit Account Inflow Amount_median,Deposit Account Outflow Amount_mean,Deposit Account Outflow Amount_median,description
0,231,38.25541125541125,36.0,Female,high school,single,Corporate Employee,Central,0.11688311688311688,0.0,0.1164021164021164,0.0,0.21212121212121213,0.0,0.20346320346320346,0.0,0.06926406926406926,0.0,0.08225108225108226,0.0,0.05194805194805195,0.0,0.08658008658008658,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cluster 0 represents mid-career, single female corporate employees, predominantly in their late 30s, with a high school education and minimal family or vehicle ownership. This segment exhibits low engagement with financial products, limited savings account usage, and negligible cash flow activity, suggesting a preference for basic financial services and a conservative approach to money management. Unlike other segments, their financial behavior is characterized by minimal transactions and inflows, making them distinct as a low-activity, low-adoption customer group."
1,646,44.1640866873065,43.0,Female,bachelor's degree,single,Corporate Employee,Central,0.10835913312693499,0.0,0.4869109947643979,0.0,4.817337461300309,5.0,4.445820433436532,4.0,2.6671826625387,2.0,1.0325077399380804,1.0,2.865325077399381,3.0,0.7569659442724458,1.0,0.015479876160990712,0.0,1.3746130030959753,1.0,312895.07538860105,7811.47,53.39378238341969,31.0,2.627167530224525,2.2,1.0241796200345423,1.0,6.962003454231433,5.0,16.60621761658031,7.0,0.8998272884283247,1.0,2.7582037996545767,2.0,36.78756476683938,21.0,0.9430051813471503,1.0,5.039723661485319,4.0,125365.21490500864,40000.0,126977.7072193437,45106.91,"Cluster 1 represents mid-career, highly educated professionals, predominantly single women in their early-to-mid 40s, residing in central regions. This segment demonstrates strong financial stability with high savings account balances and significant adoption of health insurance and payment services, though they maintain low transaction amounts and limited vehicle or family-related expenses. Distinct from other segments, Cluster 1 combines a focus on savings and financial security with modest cash flow activity, reflecting a lifestyle centered on individual priorities and professional growth."
2,299,30.662207357859533,27.0,Female,others,single,Corporate Employee,Central,0.026755852842809364,0.0,0.1111111111111111,0.0,3.3612040133779266,3.0,3.331103678929766,3.0,1.3444816053511706,1.0,0.11371237458193979,0.0,2.391304347826087,2.0,0.6755852842809364,1.0,0.006688963210702341,0.0,1.0869565217391304,1.0,12507.362798634811,349.92,72.24573378839591,20.0,3.231023890784983,2.0,1.3993174061433447,1.0,6.959044368600683,4.0,21.494880546075084,6.0,0.9044368600682594,1.0,2.6996587030716723,2.0,50.75085324232082,14.0,1.1774744027303754,1.0,5.030716723549488,3.0,49835.07054607508,11184.0,48603.53153583618,11925.0,"Cluster 2 represents young, single, predominantly female corporate employees in their early 30s, primarily located in the Central region. They exhibit high engagement with savings accounts and payment services but maintain low balances, modest inflows, and minimal lending or vehicle ownership, reflecting a transactional, cash-flow-focused financial behavior. Distinct from other segments, their high transaction volumes and limited product diversification align with their life stage and education level, making them an ideal target for streamlined, digital-first financial solutions that prioritize convenience and affordability."
3,246,35.646341463414636,31.0,Female,others,single,Corporate Employee,Central,0.024489795918367346,0.0,0.0,0.0,0.13821138211382114,0.0,0.13821138211382114,0.0,0.07317073170731707,0.0,0.04878048780487805,0.0,0.008130081300813009,0.0,0.21951219512195122,0.0,0.0,0.0,0.0,0.0,,,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.25,0.0,0.2857142857142857,0.0,0.25,0.0,0.125,0.0,0.14285714285714285,0.0,0.125,0.0,18.84,0.0,394.395,0.0,"Cluster 3 represents a predominantly young, single, female demographic, with an average age of 35.6 years and a concentration of corporate employees in central regions. This segment exhibits minimal engagement with financial products, low savings adoption (13.8% average), and negligible cash flow activity, with average inflows of $19 and outflows of $394. Distinct from other clusters, Cluster 3 is characterized by limited financial activity and product usage, likely reflecting a lifestyle focused on immediate needs rather than long-term financial planning."
4,203,47.758620689655174,47.0,Female,bachelor's degree,single,Entrepreneur,Central,0.15763546798029557,0.0,0.7359550561797753,1.0,4.551724137931035,5.0,4.206896551724138,4.0,2.6945812807881775,2.0,0.8916256157635468,1.0,2.645320197044335,2.0,0.5714285714285714,1.0,0.029556650246305417,0.0,1.3891625615763548,1.0,362106.53837209305,11355.93,69.51162790697674,24.0,3.1367441860465117,2.0,1.0930232558139534,1.0,7.465116279069767,5.0,32.883720930232556,6.5,0.8895348837209303,1.0,3.7906976744186047,2.0,36.627906976744185,16.0,0.9534883720930233,1.0,4.8023255813953485,3.0,489783.80779069767,78252.2,505047.9772093023,79334.44,"Cluster 4 represents a mature, predominantly female segment of entrepreneurial professionals, averaging 47.8 years old and typically holding a bachelor's degree. They exhibit high balances and inflows, with a strong preference for savings accounts, health insurance, and payment services, while engaging minimally in business lending. Distinct from younger clusters, this group’s financial behavior is characterized by stability, moderate transaction volumes, and a focus on wealth preservation rather than high-frequency spending or borrowing."
5,280,46.49285714285714,47.0,Female,high school,married,Entrepreneur,Central,0.22857142857142856,0.0,0.4185022026431718,0.0,3.7535714285714286,4.0,3.585714285714286,4.0,1.6535714285714285,1.0,0.45357142857142857,0.0,2.3892857142857142,2.0,0.5714285714285714,1.0,0.03214285714285714,0.0,1.0714285714285714,1.0,80936.10554585153,2087.49,95.17467248908297,24.0,3.899126637554585,2.0,1.4934497816593886,1.0,8.681222707423581,4.0,58.6768558951965,7.0,1.1834061135371179,1.0,5.510917030567685,2.0,36.49781659388646,11.0,0.9082969432314411,1.0,4.091703056768559,2.0,162871.0684279476,23400.0,158084.9612227074,26202.57,"Cluster 5 represents middle-aged, predominantly female entrepreneurs with high school education, primarily located in the Central region. This segment is characterized by high savings account balances and strong usage of payment services, while exhibiting conservative lending and business credit behaviors. Distinct from other segments, they maintain significant cash inflows and outflows with high average balances, yet their transactional activity remains modest, reflecting a financially stable but cautious approach to financial product adoption."
6,352,38.37784090909091,36.0,Male,high school,single,Corporate Employee,Central,0.10511363636363637,0.0,0.12121212121212122,0.0,1.9232954545454546,1.0,1.90625,1.0,0.7727272727272727,1.0,0.13068181818181818,0.0,1.40625,0.0,0.29545454545454547,0.0,0.0,0.0,0.5482954545454546,0.0,53809.35514450867,573.84,43.64942528735632,18.0,2.334367816091954,1.94,0.9310344827586207,1.0,5.931034482758621,3.5,12.844827586206897,4.0,0.7873563218390804,1.0,2.32183908045977,1.0,30.804597701149426,12.0,0.8333333333333334,1.0,4.2701149425287355,3.0,46447.56270114943,15982.75,47644.62034482759,16060.965,"Cluster 6 represents single, male corporate employees in their late 30s, predominantly with a high school education and residing in central regions. This segment demonstrates moderate savings account usage and payment services adoption, with low engagement in lending and general services. What sets them apart is their relatively high average deposit balances and inflow amounts, despite minimal transaction activity and limited financial product diversification, indicating a preference for simplicity and stability in financial management."
7,262,32.69465648854962,29.0,Male,others,single,Corporate Employee,Central,0.011450381679389313,0.0,0.1836734693877551,0.0,3.4389312977099236,3.0,3.3893129770992365,3.0,1.4083969465648856,1.0,0.26717557251908397,0.0,2.282442748091603,2.0,0.6297709923664122,1.0,0.0,0.0,1.0534351145038168,1.0,18882.333698393573,87.61,54.35856573705179,18.0,2.8137450199203187,2.0,0.9282868525896414,1.0,7.0199203187251,4.0,21.717131474103585,3.0,0.7529880478087649,1.0,2.812749003984064,1.0,32.64143426294821,13.0,0.8047808764940239,1.0,4.780876494023905,3.0,37529.9019123506,9521.0,37626.58290836654,9697.93,"Cluster 7 represents young, single, male corporate employees, predominantly located in central regions, with limited vehicle ownership and no children. This segment exhibits high usage of savings accounts and payment services, paired with low balances and inflows but frequent, small-value transactions. Distinct from older and more educated clusters, Cluster 7 prioritizes transactional convenience over diverse financial product adoption, making them ideal for streamlined, digital-first solutions."
8,92,36.66304347826087,32.0,Male,vocational certificate/ diploma,single,Corporate Employee,Central,0.05434782608695652,0.0,0.05063291139240506,0.0,2.869565217391304,3.0,2.869565217391304,3.0,1.0434782608695652,1.0,0.07608695652173914,0.0,2.1847826086956523,2.0,0.4891304347826087,0.0,0.0,0.0,0.7391304347826086,1.0,17653.473384615383,613.48,77.98461538461538,33.0,3.487076923076923,2.25,0.9384615384615385,1.0,9.046153846153846,5.0,32.96923076923077,10.0,0.8153846153846154,1.0,4.184615384615385,2.0,45.01538461538462,24.0,0.8769230769230769,1.0,5.984615384615385,4.0,65203.340923076925,27674.0,68212.21446153848,27510.0,"Cluster 8 represents financially active, single male professionals in their mid-30s, primarily holding vocational certificates and working as corporate employees in central regions. This segment demonstrates strong adoption of savings accounts and payment services, with moderate health insurance usage, but minimal engagement with lending or business-related financial products. Distinct from other segments, they exhibit steady cash flow patterns with relatively high transaction volumes but low transaction amounts, reflecting a preference for frequent, small-scale financial activity."
9,258,42.20542635658915,41.0,Female,high school,single,Freelancer,Central,0.18604651162790697,0.0,0.11274509803921569,0.0,1.689922480620155,1.0,1.6705426356589148,1.0,0.6976744186046512,1.0,0.03488372093023256,0.0,1.2209302325581395,0.0,0.32945736434108525,0.0,0.003875968992248062,0.0,0.5891472868217055,1.0,46410.74702290077,143.24,46.31578947368421,9.0,2.369172932330827,1.67,0.849624060150376,1.0,5.69172932330827,3.0,22.962406015037594,3.0,0.706766917293233,1.0,2.9774436090225564,1.0,23.353383458646615,7.0,0.6992481203007519,1.0,3.225563909774436,2.0,78959.88864661654,9058.0,80535.19609022557,5921.56,"Cluster 9 represents middle-aged, predominantly single, female freelancers with a high school education, residing in central regions. This segment demonstrates moderate engagement with savings accounts and payment services but limited adoption of lending and general financial products, with low transaction volumes and minimal cash flow activity despite occasional high average balances. Distinct from other clusters, Cluster 9’s financial behavior reflects a conservative approach to spending and borrowing, likely influenced by their freelance occupation and modest household structure."
