Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,cluster,merged_cluster
0.0,0.0,Male,less than high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,37.0,Northeastern,Freelancer,0,0
0.0,,Female,,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Southern,Freelancer,0,0
0.0,,Male,,others,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,65.0,Northern,Corporate Employee,0,0
0.0,,Male,others,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Northeastern,Student,0,0
0.0,,Female,others,others,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,4101.79,86.0,3.44,1.0,9.0,39.0,1.0,7.0,47.0,1.0,7.0,143703.0,139655.92,50.0,Central,Corporate Employee,0,0
0.0,,Male,others,married - registered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,38.0,Northeastern,Entrepreneur,0,0
0.0,,Male,others,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,27.0,8.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,461491.0,461464.0,55.0,Central,Other,4,4
0.0,0.0,Female,high school,single,4.0,4.0,2.0,0.0,4.0,0.0,0.0,2.0,487.86,38.0,1.9,1.0,7.0,8.0,1.0,2.0,30.0,1.0,5.0,15668.0,42728.13,24.0,Central,Corporate Employee,0,0
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,41.0,Eastern,Corporate Employee,0,0
0.0,0.0,Male,high school,single,3.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Southern,Corporate Employee,0,0
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,33.0,Central,Freelancer,0,0
0.0,0.0,Female,bachelor's degree,single,5.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,1369.87,107.0,3.69,1.0,10.0,55.0,1.0,5.0,52.0,1.0,6.0,100983.78,102381.17,30.0,Central,Corporate Employee,0,0
0.0,,Male,others,married - registered,5.0,5.0,2.0,1.0,2.0,1.0,0.0,1.0,56.99,88.0,3.52,1.0,10.0,35.0,1.0,5.0,53.0,1.0,5.0,36100.0,36431.0,49.0,Northeastern,Corporate Employee,0,0
0.0,1.0,Female,bachelor's degree,married,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,56.0,Eastern,Corporate Employee,0,0
0.0,,Female,others,single,4.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,169040.95,62.0,2.82,1.0,9.0,34.0,1.0,6.0,28.0,1.0,7.0,12198.0,38116.3,32.0,Northeastern,Freelancer,0,0
0.0,,Male,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,22.0,Northeastern,Student,0,0
0.0,0.0,Female,less than high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,Northeastern,Student,0,0
0.0,0.0,Female,bachelor's degree,single,8.0,8.0,6.0,1.0,5.0,1.0,0.0,3.0,2342.98,111.0,3.96,1.0,18.0,13.0,1.0,3.0,98.0,1.0,17.0,91634.16,138172.12,28.0,Central,Corporate Employee,0,0
0.0,,Male,others,married,7.0,5.0,4.0,0.0,4.0,1.0,0.0,1.0,11581.86,33.0,1.57,1.0,3.0,5.0,1.0,2.0,28.0,1.0,3.0,18630.0,19113.0,71.0,Central,Corporate Employee,0,0
0.0,,Female,less than high school,single,4.0,4.0,1.0,0.0,5.0,1.0,0.0,1.0,153.27,87.0,3.35,1.0,14.0,17.0,1.0,5.0,70.0,1.0,10.0,79983.0,84740.86,44.0,Central,Corporate Employee,0,0
0.0,,Female,others,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,38.0,Western,Corporate Employee,0,0
0.0,,Male,,single,3.0,3.0,2.0,0.0,2.0,1.0,0.0,2.0,7.02,28.0,1.87,1.0,3.0,6.0,1.0,1.0,22.0,1.0,3.0,5400.0,5403.96,26.0,Southern,Freelancer,0,0
0.0,1.0,Female,bachelor's degree,single,6.0,5.0,3.0,1.0,4.0,1.0,0.0,3.0,0.05,15.0,1.67,1.0,2.0,8.0,1.0,2.0,7.0,1.0,1.0,20250.0,20250.51,53.0,Northeastern,Entrepreneur,0,0
0.0,,Male,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,38.0,Northeastern,Freelancer,0,0
0.0,0.0,Male,high school,married,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,Central,Corporate Employee,0,0
0.0,0.0,Female,high school,married - registered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,33.0,Central,Corporate Employee,0,0
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,5.0,0.0,3.0,1.0,0.0,1.0,4029.0,111.0,3.7,1.0,10.0,23.0,1.0,2.0,88.0,1.0,8.0,127214.01,133199.93,32.0,Central,Corporate Employee,0,0
0.0,0.0,Male,vocational certificate/ diploma,single,4.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,23685.09,169.0,7.68,1.0,32.0,73.0,1.0,16.0,96.0,1.0,16.0,683012.28,670861.93,26.0,Central,Corporate Employee,4,4
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,Central,Other,0,0
0.0,0.0,Female,bachelor's degree,separate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,42.0,Southern,Freelancer,0,0
2.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,75.0,Central,Entrepreneur,0,0
0.0,,Male,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,Central,Freelancer,0,0
0.0,1.0,Male,high school,single,4.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1067.66,15.0,2.14,1.0,3.0,5.0,1.0,2.0,10.0,1.0,2.0,26200.0,27090.0,32.0,Central,Entrepreneur,0,0
0.0,1.0,Male,high school,married,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,6289.1,29.0,1.61,1.0,4.0,22.0,1.0,3.0,7.0,1.0,2.0,204520.0,201805.0,66.0,Central,Entrepreneur,0,0
0.0,,Female,others,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,2203.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,600.0,0.0,21.0,Northern,Student,0,0
0.0,0.0,Female,high school,single,4.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,37909.17,197.0,6.57,3.0,12.0,113.0,1.0,7.0,84.0,1.0,7.0,767385.0,736029.43,41.0,Eastern,Entrepreneur,4,4
0.0,1.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,26.0,Central,Entrepreneur,0,0
1.0,,Female,others,married - registered,4.0,4.0,3.0,0.0,3.0,2.0,0.0,2.0,25.71,34.0,1.7,1.0,4.0,16.0,1.0,2.0,18.0,1.0,3.0,17412.46,18070.75,61.0,Eastern,Entrepreneur,0,0
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,38.0,Central,Corporate Employee,0,0
0.0,0.0,Male,vocational certificate/ diploma,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,41.0,Northeastern,Corporate Employee,0,0
0.0,0.0,Female,high school,single,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Central,Corporate Employee,0,0
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,40.0,Central,Corporate Employee,0,0
0.0,,Female,,single,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,9.49,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,24.0,Central,Corporate Employee,0,0
0.0,,Male,,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,0.83,81.0,2.89,1.0,4.0,27.0,1.0,1.0,54.0,1.0,3.0,22436.0,22528.0,26.0,Central,Freelancer,0,0
0.0,,Male,,,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,47.43,10.0,1.67,1.0,2.0,6.0,1.0,1.0,4.0,1.0,1.0,1791.24,1776.97,28.0,Southern,Unemployed,0,0
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,40.0,Eastern,Corporate Employee,0,0
0.0,0.0,Female,others,married - registered,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,10751.68,44.0,1.91,1.0,4.0,13.0,1.0,2.0,31.0,1.0,3.0,33570.0,38820.0,32.0,Central,Corporate Employee,0,0
