Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,Summary,Education_T1,Marital_Status_T1,Occupation_Group_T1,Region_T1,Number_of_Children_T1,Reason
0.0,Unknown,Female,others,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,30,Central,Student,1937,"This customer is a 30-year-old female residing in the Central region, currently identified as a student with an unspecified educational background and marital status. She does not have children, and her ownership of vehicles remains unknown. Financially, she appears to be disengaged from traditional banking services, with no savings account, health insurance, lending products, payment services, business lending, or active deposit accounts. There is no transactional data available to analyze inflow, outflow, or account balances, suggesting either a minimal or nonexistent financial footprint within the institution. Her profile reflects a highly unbanked or underbanked individual, potentially relying on alternative financial tools or cash-based methods for managing expenses. This limited engagement with banking services could indicate either a lack of financial resources or limited financial needs, consistent with her status as a student. She might represent a segment of younger individuals who are either early in their financial journey or operating outside traditional financial systems. Customers matching this profile may share similar characteristics, including low engagement with financial services, transient or flexible lifestyles, and reliance on minimal banking infrastructure.",others,single,Corporate Employee,Eastern,0.0,"**Key Changes:**  
1. Occupation shifted from Student to Corporate Employee.  
2. Region changed from Central to Eastern.  
3. Marital status updated to ""Single"" from ""Others.""  

**Root Causes:**  
The transition from student to corporate employee suggests a significant life milestone, likely completing education and beginning a career. Relocation to the Eastern region may reflect job opportunities or lifestyle preferences tied to employment. Updating marital status to ""Single"" indicates increased clarity or formalization of personal demographics, possibly influenced by professional contexts requiring accurate data.

**Financial Impact:**  
Positive financial implications are likely due to stable income from corporate employment, enabling increased financial engagement (e.g., savings or lending). Relocation may incur initial costs but could offer long-term financial benefits, such as better economic opportunities. Overall, these changes signal improved financial stability.

**Behavioral Pattern:**  
The customer is transitioning from a disengaged, student-based financial profile toward a more structured and active financial life. This shift aligns with career progression and geographic mobility, reflecting increased accountability and potential growth in financial planning and service utilization."
0.0,0.0,Female,high school,married,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.77,13.0,2.17,1.0,4.0,6.0,1.0,2.0,7.0,1.0,2.0,10600.0,10600.0,43,Southern,Corporate Employee,4262,"This customer represents a 43-year-old married female corporate employee residing in the Southern region of the country. She has a high school education and does not have children or vehicles. Her financial profile suggests a moderate engagement with financial services, including three savings accounts, health insurance coverage, and a deposit account. The deposit account holds a relatively low balance of $0.77 but is actively used for transactions, averaging 2.17 transactions per month with inflows and outflows evenly matched at $10,600 annually. Transaction amounts are consistent, ranging between $1 and $2 per transaction, indicating a predictable cash flow pattern devoid of significant variability. She shows regular inflows and outflows across 13 transactions annually, suggesting a steady, structured approach to managing her finances. While she does not utilize lending or business lending services and has limited engagement with payment services (two accounts), her financial behavior highlights a disciplined and low-risk profile with no signs of overspending or debt accumulation. This customer appears to value stability and simplicity in her financial relationships, aligning with a segment of middle-aged professionals who prioritize basic financial products over complex or high-risk investments. Her transactional consistency and focus on savings suggest she would be similar to other customers who favor reliability and active financial management within modest income brackets.",high school,married,Freelancer,Southern,0.0,"**Key Changes:**  
1. Occupation shifted from Corporate Employee to Freelancer.  
2. No changes in marital status, education, or region, indicating stability in personal circumstances.  
3. Financial activity metrics, such as deposit account balance and transaction patterns, remained consistent.

**Root Causes:**  
The transition to freelancing suggests a career change driven by the desire for flexibility, independence, or necessity (e.g., layoffs or industry changes). This shift typically aligns with middle-aged professionals seeking more control over work-life balance or adapting to economic pressures.

**Financial Impact:**  
Neutral to slightly negative. Freelancing introduces income variability, potentially impacting cash flow predictability. However, the customer's consistent deposit account inflow and outflow patterns ($10,600 annually) indicate stability in managing finances. Lack of debt or lending suggests preparedness for this transition.

**Behavioral Pattern:**  
The customer demonstrates a disciplined financial approach despite occupational changes. Her steady cash flow, consistent transactions, and focus on savings indicate resilience and adaptability. She continues to prioritize basic financial products, emphasizing stability over risk in navigating career shifts."
0.0,0.0,Female,less than high school,single,4.0,4.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,42.0,3.23,1.0,9.0,15.0,1.0,3.0,27.0,1.0,8.0,7650.0,7650.49,25,Central,Corporate Employee,3544,"This customer is a 25-year-old single female residing in the Central region, with an education level below high school. She is employed as a corporate employee and has no children or vehicles. Financially, she maintains moderate engagement with banking services, including four savings accounts and two deposit accounts, but does not use lending or business lending services. Her deposit accounts are active, showing consistent transaction behavior with 42 transactions over the observed period, averaging 3.23 per transaction cycle, with inflows and outflows closely matched at approximately $7,650 each. Inflows tend to be smaller amounts ranging from $1 to $3, while outflows show higher variability, spanning $1 to $8 per transaction. This suggests careful budgeting and a preference for smaller, frequent transactions. She utilizes payment services moderately, indicating regular digital or card-based spending habits, and maintains basic health insurance coverage. Her lack of large balances in deposit accounts, coupled with steady cash flow management, points to a customer who likely lives paycheck-to-paycheck but exercises disciplined financial control. She represents a young, entry-level professional in an urban area, relying on essential financial services to manage her daily expenses while avoiding debt. Her financial behaviors suggest a pragmatic, transactional customer focused on stability rather than long-term wealth accumulation.",less than high school,single,Corporate Employee,Central,0.0,"**Key Changes:**  
1. **No significant changes in demographic or financial data between T0 and T1.**  
2. **Transaction patterns in deposit accounts remain consistent, with no noticeable alterations in inflows, outflows, or balances.**  
3. **The customer’s financial behavior and service utilization appear unchanged.**  

**Root Causes:**  
The lack of change suggests stability in the customer’s life stage, career, and financial circumstances. She likely remains in an entry-level corporate role with controlled spending and predictable cash flow, living paycheck-to-paycheck. No external triggers (e.g., life events, income changes) seem to have occurred.  

**Financial Impact:**  
Neutral. The customer continues to exhibit disciplined financial management, maintaining a balance between inflows and outflows without debt utilization or savings growth.  

**Behavioral Pattern:**  
The customer’s financial behavior remains pragmatic and transactional, focused on stability. Her steady, small-scale activity and avoidance of debt indicate cautious budgeting, with no shift toward wealth-building behaviors. This reflects a consistent financial approach aligned with her current life stage."
0.0,0.0,Male,bachelor's degree,married,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,15624.63,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,8600.0,30200.0,44,Southern,Corporate Employee,1689,"This customer represents a financially stable 44-year-old married male corporate employee residing in the Southern region with a bachelor's degree. He has a relatively simple household structure without children or vehicles, suggesting a focus on career and individual pursuits. Financially, he maintains three savings accounts, reflecting a preference for diversification and financial security, while his sole deposit account holds a substantial balance of $15,624.63. His transactional behavior shows moderate activity, averaging four transactions per month, with consistent inflows of $8,600 and significantly higher outflows totaling $30,200, indicating he is likely managing larger expenses or investments. The even distribution of inflows and outflows suggests predictable financial patterns, possibly tied to recurring payments or high-cost lifestyle preferences. He uses health insurance but does not engage in lending, business lending, or additional services, reflecting a conservative approach to financial products. His payment services usage is moderate, aligning with his transactional habits. Overall, this customer portrays a middle-aged professional with steady income streams, careful financial management, and a low-risk profile, likely belonging to the upper-middle economic segment. His behavior indicates a preference for stability, predictable financial flows, and limited reliance on credit, making him similar to others in his demographic who prioritize savings and manage expenses with precision.",bachelor's degree,married,Entrepreneur,Southern,0.0,"**Key Changes:**  
1. Occupation shifted from Corporate Employee to Entrepreneur.  
2. No changes in household structure (e.g., marital status, children).  
3. Financial activity data not provided but assumed stable as no explicit changes were noted.  

**Root Causes:**  
The transition to entrepreneurship likely stems from a career pivot, driven by aspirations for independence, higher income potential, or dissatisfaction with corporate employment. His stable personal life and financial foundation, including significant savings and no dependents, likely enabled this risk-taking.  

**Financial Impact:**  
Neutral to positive. Entrepreneurship introduces income variability and potential financial strain but his prior financial stability (e.g., $15,624 deposit account balance, diversified savings) suggests preparedness to manage initial volatility.  

**Behavioral Pattern:**  
The customer has shifted toward a more risk-tolerant financial behavior. While T0 reflected stable, predictable patterns, his move to entrepreneurship at T1 signals a willingness to embrace uncertainty for long-term gains, leveraging his financial security as a buffer to support this transition."
0.0,0.0,Female,vocational certificate/ diploma,married - registered,5.0,5.0,1.0,1.0,4.0,1.0,0.0,1.0,12807.86,37.0,2.18,1.0,6.0,8.0,1.0,2.0,29.0,1.0,4.0,47100.0,38161.97,51,Central,Corporate Employee,1883,"This customer is a 51-year-old married female with vocational training, residing in the Central region and working as a corporate employee. She has no children or vehicles, suggesting a lifestyle focused on personal or professional pursuits rather than family or mobility. Financially, she demonstrates a balanced and moderately active banking relationship, with five savings accounts and one deposit account holding a balance of $12,807.86. Her deposit account activity is steady, averaging 37 monthly transactions, primarily outflows (29 total) that are frequent but relatively small, ranging from $1 to $4, compared to inflows (8 total) which are less frequent but larger, ranging from $1 to $2. Her total inflow over the period was $47,100, exceeding her outflow of $38,161.97, suggesting a net-positive cash flow and prudent spending habits. She utilizes health insurance, lending, payment services, and savings products, but has no business lending, indicating a focus on personal financial management rather than entrepreneurial activities. Her transaction patterns suggest a customer who prioritizes consistent financial stability and disciplined resource allocation. She likely values reliability and structured financial planning, making her representative of middle-aged, career-focused individuals who maintain a stable yet moderately active banking relationship without significant variability in financial behavior.",vocational certificate/ diploma,married,Corporate Employee,Central,0.0,"**Key Changes:**  
1. No significant demographic or financial changes observed between T0 and T1.  
2. Marital status wording changed slightly from ""married - registered"" to ""married,"" but this is semantic rather than substantive.  
3. All financial activity metrics and behavior patterns remain consistent.  

**Root Causes:**  
The absence of meaningful changes suggests stability in the customer’s personal and financial life. The lack of shifts in occupation, region, or family structure points to a steady lifestyle and no major life events during this period.  

**Financial Impact:**  
Neutral. With no changes to income, expenditures, or account activity, the customer’s financial position remains stable. The net-positive cash flow and prudent spending habits observed at T0 persist.  

**Behavioral Pattern:**  
This customer exhibits consistent financial behavior, maintaining disciplined spending and savings routines. Her stable profile reinforces a preference for financial reliability and structured planning with no indication of increased risk-taking or lifestyle changes."
0.0,1.0,Male,bachelor's degree,single,6.0,5.0,6.0,1.0,5.0,1.0,0.0,3.0,1.32,20.0,2.0,1.0,7.0,7.0,1.0,5.0,13.0,1.0,2.0,468700.39,468701.13,38,Central,Corporate Employee,1426,"This customer represents a 38-year-old single male corporate employee residing in the Central region. With a bachelor’s degree and no children, he maintains a focused and independent lifestyle, owning one vehicle. Financially, he demonstrates moderate engagement across services, holding six savings accounts with five active subgroups, indicating a propensity for organizing his finances. His deposit account shows consistent activity with 20 transactions per month, averaging two transactions daily, and a balance of 1.32 units, suggesting disciplined account usage. Inflows to the deposit account total 468,700.39 units, with amounts varying between 1.0 and 5.0 units per transaction; outflows closely match at 468,701.13 units, suggesting a tight budgeting approach where income is carefully allocated to expenses. Outflows occur more frequently (13 transactions monthly) but with smaller variability, highlighting predictable spending patterns. He actively uses payment services (5.0) and health insurance (6.0), while showing limited engagement with lending (1.0) or business lending (0.0), emphasizing his consumer-oriented financial behavior rather than entrepreneurial activity. The customer’s steady inflows, controlled outflows, and reliance on organized savings suggest a financially cautious yet stable individual, likely prioritizing stability and incremental growth over risk. This profile aligns with urban professionals who value structured financial management and predictable spending habits.",bachelor's degree,single,Corporate Employee,Central,0.0,"**Key Changes**:  
1. Deposit Account Balance increased from 1.32 to 5.62 units, reflecting improved liquidity.  
2. Deposit Account Transactions decreased from 20.0 to 16.0, indicating reduced frequency of account utilization.  
3. Deposit Account Outflow Amount decreased significantly from 468,701.13 to 470.30 units, signaling lower spending or a shift in expense management.  

**Root Causes**:  
The customer's reduced outflows and increased balance suggest a deliberate shift toward saving or a recent windfall. This could result from a bonus, inheritance, or a decision to cut discretionary spending, possibly influenced by economic uncertainty or future financial goals (e.g., major purchase or investment).  

**Financial Impact**:  
Overall, the changes are positive. Increased liquidity and reduced outflows enhance financial stability, providing more buffer for emergencies or future opportunities, though reduced transaction activity may slightly impact service engagement.  

**Behavioral Pattern**:  
The customer has shifted from tight budgeting with high inflow/outflow parity to a savings-oriented strategy. This suggests greater financial prudence and a focus on accumulating reserves, reflecting a cautious and future-focused approach to financial management."
0.0,0.0,Male,high school,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,52,Central,Corporate Employee,2475,"This customer is a 52-year-old male corporate employee residing in the Central region, who has completed high school education and is married without children or vehicles. Despite his professional status, he does not currently utilize or possess any financial products such as savings accounts, health insurance, lending services, payment solutions, business lending, or deposit accounts. Additionally, no information is available regarding his financial transaction behaviors, such as inflows, outflows, or balances, which limits insights into his spending or saving habits. This profile suggests a minimal engagement with financial services, potentially indicating either a preference for alternative financial instruments, reliance on cash-based transactions, or a lack of access to traditional banking systems. The absence of vehicles or dependents may further imply a simplified lifestyle or financial priorities that do not extend to asset accumulation or family-oriented planning. This customer represents a segment that may either be underserved by financial institutions or intentionally disengaged from typical banking products, making him an atypical candidate for similarity matching based on standard financial behaviors.",high school,married,Corporate Employee,Central,0.0,"**Key Changes:**  
1. No changes observed in education, marital status, occupation, region, or number of children.  
2. No new engagement with financial products or services.  
3. Continued absence of financial transaction data or inflows/outflows.  

**Root Causes:**  
The lack of change suggests the customer remains disengaged from traditional financial services. Possible reasons include reliance on cash-based systems, alternative financial instruments (e.g., informal savings), or limited financial literacy/access. Stability in personal and professional circumstances (e.g., unchanged occupation, marital status) reinforces a static financial behavior profile.  

**Financial Impact:**  
Neutral. The absence of financial product adoption indicates no direct financial improvement or deterioration. However, this disengagement may limit long-term wealth accumulation or financial resilience.  

**Behavioral Pattern:**  
The customer exhibits a consistent pattern of minimal financial engagement, potentially reflecting a preference for simplicity or barriers to access. This static financial behavior suggests hesitancy or indifference toward traditional banking products, maintaining a low-risk but low-growth financial posture.  "
0.0,Unknown,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,43,Central,Corporate Employee,273,"This customer is a 43-year-old single female corporate employee residing in the Central region, with a bachelor's degree and no children. Her financial profile suggests minimal engagement with financial products and services, as she does not actively use savings accounts, health insurance, lending, payment services, business lending, or deposit accounts. The absence of data on vehicles and deposit account transactions further suggests either a lack of financial activity or underreported usage. Her financial behavior appears inactive, with no evident inflows, outflows, or transaction variability to indicate regular financial habits such as saving, spending, or borrowing. This profile may represent a customer who either has limited access to financial services or prefers to manage finances outside traditional banking channels. Given her corporate occupation, she might have financial stability but chooses not to leverage formal financial products, possibly relying on alternative methods for managing money. This customer is likely part of a segment characterized by low engagement in financial ecosystems and may require targeted strategies to encourage deeper participation in banking and financial services. Her profile could be matched with other individuals who exhibit similar demographic traits and financial disengagement.",bachelor's degree,single,Corporate Employee,Central,0.0,"**Key Changes:**  
No significant changes in demographic, financial situation, or banking activity were observed between T0 and T1. The customer’s profile remains identical in all tracked metrics.

**Root Causes:**  
The lack of change suggests stability in the customer’s life circumstances, occupation, and financial preferences. Likely causes include consistent employment, unchanged financial priorities, or continued disengagement from formal banking services. Alternative financial management methods (e.g., cash-based or informal systems) may still be preferred.

**Financial Impact:**  
Neutral financial implications. The absence of engagement with savings, lending, or other financial products means the customer likely remains outside the formal banking ecosystem. While this limits potential growth in financial health, it avoids debt or excessive fees, maintaining a status quo.

**Behavioral Pattern:**  
The customer’s financial behavior continues to exhibit low activity and engagement. Despite having a stable corporate occupation, she demonstrates a preference for avoiding traditional financial products and services, indicating either ongoing disengagement or deliberate avoidance of formal banking channels."
0.0,1.0,Female,bachelor's degree,married - registered,4.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,54.83,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,15349.0,15300.0,39,Central,Corporate Employee,783,"This customer represents a 39-year-old married female corporate employee residing in the Central region, with a bachelor's degree and a stable urban lifestyle. She has no children and owns one vehicle, reflecting a focus on professional growth and moderate personal mobility. Financially, she demonstrates a balanced and disciplined approach, maintaining four savings accounts and actively engaging with payment services, health insurance, and a personal deposit account. Her deposit account activity is steady, with three transactions monthly, showing consistent inflows and outflows (averaging $15,349 in inflows and $15,300 in outflows). This indicates a well-managed financial routine with minimal variability, suggesting a preference for predictability and careful budgeting. Her inflows and outflows are closely aligned, pointing to a customer who likely allocates her income efficiently between expenses and savings. Not utilizing lending or business lending services further reinforces her conservative financial behavior. The modest deposit account balance of $54.83 suggests she may prefer to move surplus funds to other savings or investments. This profile characterizes a financially responsible, middle-income professional with a focus on stability and practicality, making her an ideal match for financial products tailored to disciplined savers and those seeking predictable, low-risk financial tools.",bachelor's degree,married - non registered,Corporate Employee,Central,1.0,"**Key Changes:**  
1. Marital Status shifted from “married - registered” to “married - non-registered.”  
2. Number of Children increased from 0 to 1.  
3. No changes in employment or region, maintaining overall stability.

**Root Causes:**  
The increase in the number of children suggests the customer has become a parent, likely triggering a shift in household priorities and expenses. The marital status change may reflect a legal or personal adjustment, such as transitioning from formal registration to informal recognition, potentially linked to lifestyle or tax planning.

**Financial Impact:**  
The addition of a child will likely increase monthly outflows (e.g., childcare, healthcare, and education costs) and may reduce savings potential. The marital status change appears financially neutral, but it may reflect subtle tax or estate planning adjustments.

**Behavioral Pattern:**  
The customer is transitioning from a self-focused, stable financial routine to one oriented toward family responsibilities. While still financially disciplined, the focus may shift to optimizing resources for dependents, leading to increased expenditures and a possible reevaluation of savings strategies to ensure long-term stability."
0.0,Unknown,Male,bachelor's degree,married - non registered,5.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,103.96,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17900.0,17900.0,42,Northeastern,Entrepreneur,522,"This customer represents a 42-year-old married male entrepreneur residing in the Northeastern region, holding a bachelor's degree and living without children. While the number of vehicles owned is unknown, his financial behavior paints a picture of steady, yet minimalistic engagement with financial services. He maintains five savings accounts, suggesting a preference for diversified saving strategies, with a subgroup usage level of four, indicating moderate activity across these accounts. His health insurance usage at level three points to a balanced approach to personal risk management. Despite his entrepreneurial status, he does not utilize business lending, favoring self-funding or alternative financing methods. His lending, payment, and service usage are all minimal, at level one, reflecting limited reliance on external credit or transactional services. 

His deposit account shows consistent activity with a modest balance of $103.96 and low transaction frequency—two transactions averaging $1 each—with inflows and outflows perfectly balanced at $17,900 each over the period. These patterns suggest disciplined financial management, likely prioritizing liquidity and predictability over frequent transactions or high balances. The lack of variability in inflows and outflows, paired with a focus on savings and a self-reliant approach to business funding, positions him as a financially conservative yet entrepreneurial customer who values stability and control in his financial dealings.",others,married - non registered,Entrepreneur,Northeastern,0.0,"**Key Changes:**  
1. Education status changed from ""bachelor's degree"" to ""others.""  
2. No changes in marital status, occupation, region, or number of children.  

**Root Causes:**  
The education change might reflect either a reclassification, pursuit of further studies (e.g., certifications or informal education), or administrative updates within the data system. No other life circumstances appear to have shifted significantly, suggesting stability in personal and professional domains.  

**Financial Impact:**  
Neutral. The change in education status does not directly affect financial behavior or decision-making at this stage. With no notable variation in other metrics, the customer's overall financial position remains steady.  

**Behavioral Pattern:**  
The customer's financial behavior remains conservative, stable, and predictable, with no significant shifts in account usage or transactional activity. The unchanged metrics indicate a continued focus on liquidity, self-reliance, and financial control, aligning with his entrepreneurial profile and disciplined management style."
