Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,cluster
0.0,0.0,Male,less than high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,37.0,Northeastern,Freelancer,3506,6
0.0,,Female,,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Southern,Freelancer,813,6
0.0,,Male,,others,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,65.0,Northern,Corporate Employee,2243,4
0.0,,Male,others,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Northeastern,Student,2352,4
0.0,,Female,others,others,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,4101.79,86.0,3.44,1.0,9.0,39.0,1.0,7.0,47.0,1.0,7.0,143703.0,139655.92,50.0,Central,Corporate Employee,433,1
0.0,,Male,others,married - registered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,38.0,Northeastern,Entrepreneur,3886,4
0.0,,Male,others,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,27.0,8.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,461491.0,461464.0,55.0,Central,Other,1271,4
0.0,0.0,Female,others,single,3.0,3.0,2.0,0.0,3.0,1.0,0.0,2.0,193255.33,308.0,9.94,3.0,17.0,71.0,1.0,6.0,237.0,2.0,13.0,10038855.94,9942414.41,28.0,Central,Student,462,1
0.0,0.0,Female,high school,single,4.0,4.0,2.0,0.0,4.0,0.0,0.0,2.0,487.86,38.0,1.9,1.0,7.0,8.0,1.0,2.0,30.0,1.0,5.0,15668.0,42728.13,24.0,Central,Corporate Employee,2631,5
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,41.0,Eastern,Corporate Employee,297,2
0.0,0.0,Male,high school,single,3.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Southern,Corporate Employee,1217,2
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,33.0,Central,Freelancer,306,6
0.0,0.0,Female,bachelor's degree,single,5.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,1369.87,107.0,3.69,1.0,10.0,55.0,1.0,5.0,52.0,1.0,6.0,100983.78,102381.17,30.0,Central,Corporate Employee,2528,3
