Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID
1.0,0.0,Female,bachelor's degree,married,4.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,11846.54,70.0,2.69,1.0,6.0,26.0,1.0,4.0,44.0,1.0,4.0,213070.0,241234.75,40,Central,Corporate Employee,2282
0.0,1.0,Female,bachelor's degree,single,3.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.18,164.0,5.66,1.0,11.0,56.0,1.0,5.0,108.0,1.0,9.0,103128.0,113270.0,42,Central,Entrepreneur,737
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,9000.69,55.0,3.06,1.0,8.0,9.0,1.0,2.0,46.0,1.0,6.0,15433.0,16961.0,31,Southern,Student,3418
0.0,1.0,Female,vocational certificate,married,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,583.21,4.0,1.33,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,607.0,230.0,51,Central,Corporate Employee,3058
0.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Northern,Freelancer,2104
3.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,Central,Freelancer,3763
1.0,1.0,Male,bachelor's degree,married,5.0,5.0,1.0,2.0,3.0,0.0,0.0,1.0,245.18,34.0,2.0,1.0,4.0,14.0,1.0,2.0,20.0,1.0,2.0,40900.0,41606.0,52,Central,Corporate Employee,1781
0.0,0.0,Male,others,married,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,6525.7,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,6500.0,6490.0,41,Central,Corporate Employee,3574
0.0,1.0,Male,bachelor's degree,married,11.0,8.0,10.0,3.0,5.0,1.0,0.0,3.0,224275.37,38.0,2.24,1.0,9.0,12.0,1.0,3.0,26.0,1.0,7.0,428982.51,363477.2,53,Central,Corporate Employee,3419
0.0,0.0,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,Central,Corporate Employee,1906
0.0,0.0,Male,bachelor's degree,single,3.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,8338.25,53.0,2.65,1.0,6.0,10.0,1.0,2.0,43.0,1.0,5.0,39161.25,36241.97,37,Northern,Corporate Employee,1992
0.0,0.0,Male,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Central,Freelancer,1158
0.0,0.0,Female,others,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,Southern,Student,4051
0.0,0.0,Female,,single,3.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.49,83.0,4.61,1.0,13.0,21.0,1.0,4.0,62.0,1.0,11.0,36693.0,35702.0,26,Eastern,Corporate Employee,2581
0.0,1.0,Male,high school,single,6.0,5.0,4.0,1.0,2.0,0.0,0.0,2.0,145245.85,14.0,1.4,1.0,3.0,4.0,1.0,2.0,10.0,1.0,2.0,216700.0,74920.0,49,Eastern,Entrepreneur,965
0.0,0.0,Male,less than high school,divorce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,Central,Freelancer,2974
0.0,0.0,Female,bachelor's degree,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,500.0,71.0,3.74,1.0,14.0,26.0,1.0,5.0,45.0,1.0,9.0,21510.73,21010.73,39,Northern,Corporate Employee,2593
0.0,0.0,Female,others,divorce,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,Northern,Unemployed,691
0.0,0.0,Male,,,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,5137.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,Southern,Unemployed,1211
0.0,0.0,Female,high school,married,7.0,7.0,2.0,1.0,4.0,0.0,0.0,1.0,3453.88,36.0,2.4,1.0,5.0,28.0,1.0,4.0,8.0,1.0,2.0,16830.0,15937.0,52,Northern,Entrepreneur,3705
0.0,0.0,Male,less than high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Central,Student,3059
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,4096.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4000.0,0.0,45,Central,Corporate Employee,4160
0.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Southern,Corporate Employee,3976
0.0,2.0,Male,bachelor's degree,single,4.0,4.0,3.0,0.0,2.0,0.0,0.0,1.0,41760.2,219.0,7.3,2.0,15.0,44.0,1.0,4.0,175.0,1.0,14.0,648925.0,609058.86,36,Western,Entrepreneur,1845
0.0,0.0,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,Central,Corporate Employee,1922
