Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID
0.0,0.0,Male,high school,single,3.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,60.0,6.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,29485.0,29425.0,21,Central,Corporate Employee,1
0.0,0.0,Female,,single,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,208.24,8.0,2.67,2.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,1520.0,1330.0,21,Northeastern,Entrepreneur,2
0.0,0.0,Female,vocational certificate,married,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,261083.52,4.0,1.33,1.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,30346.72,42,Central,Corporate Employee,3
0.0,0.0,Female,high school,single,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.1,38.0,3.17,1.0,12.0,15.0,1.0,6.0,23.0,1.0,6.0,4454.0,4454.4,30,Northern,Corporate Employee,4
0.0,0.0,Female,high school,single,4.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,43.99,125.0,6.25,1.0,12.0,48.0,1.0,5.0,77.0,1.0,8.0,466232.0,466293.4,34,Central,Entrepreneur,5
0.0,0.0,Female,high school,single,7.0,5.0,9.0,0.0,2.0,1.0,0.0,3.0,10.34,7.0,1.4,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,53000.0,53000.15,25,Eastern,Corporate Employee,6
2.0,0.0,Female,vocational certificate,widow,4.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,1970.03,46.0,2.42,1.0,6.0,16.0,1.0,3.0,30.0,1.0,4.0,21120.27,22405.0,55,Central,Corporate Employee,7
0.0,0.0,Female,,single,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,9750.0,5.0,1.25,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,22750.0,16043.97,28,Central,Corporate Employee,8
0.0,0.0,Female,bachelor's degree,single,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,380.39,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,18500.0,18951.0,45,Northern,Professional,10
0.0,0.0,Female,bachelor's degree,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,Northeastern,Corporate Employee,11
