txn_catg,txn_subcatg,dpst_txn_amt_tot,dpst_txn_cnt,cust_id
null,null,null,null,1
null,null,null,null,2
null,null,null,null,3
null,null,null,null,4
charity,religious,128.0000,2,5
loan,auto_loan,10000.0000,1,5
utility,electricity,16058.2900,2,5
investment,dummy_ix,2000.0000,2,6
investment,dummy_ix,1000.0000,1,6
investment,securities_backed_by_bank,2000.0000,2,6
investment,securities_backed_by_bank,1000.0000,1,6
utility,phone,500.0000,1,7
null,null,null,null,8
null,null,null,null,9
null,null,null,null,10
null,null,null,null,11
null,null,null,null,12
loan,credit_card,2698.0000,2,13
loan,credit_card,2117.3100,1,13
loan,unsecured_loan,1.0000,1,13
loan,unsecured_loan,900.0000,1,13
null,null,null,null,14
finance,digital_wallet,800.0000,2,15
shopping,convenience_store,17000.0000,2,15
shopping,e_commerce,800.0000,2,15
utility,phone,769.3300,1,15
null,null,null,null,16
null,null,null,null,17
null,null,null,null,18
null,null,null,null,19
null,null,null,null,20
null,null,null,null,21
null,null,null,null,22
finance,payment_gateway,558.0000,1,23
investment,dummy_ix,140000.0000,2,23
investment,securities_backed_by_bank,140000.0000,2,23
personal_care,fitness,203.0000,3,23
finance,digital_wallet,9010.0000,3,24
null,null,null,null,25
medical,pharmacy,120.0000,1,26
shopping,grocery,4000.0000,1,26
null,null,null,null,27
null,null,null,null,28
null,null,null,null,29
finance,payment_gateway,113.0000,1,30
home_and_living,home_improvement,163.0000,1,30
utility,internet,632.0000,1,30
null,null,null,null,31
null,null,null,null,32
finance,digital_wallet,37.0000,1,33
loan,unsecured_loan,1500.0000,1,33
shopping,convenience_store,500.0000,1,34
null,null,null,null,35
null,null,null,null,36
insurance,other_insurance,2449.0000,1,37
utility,internet,1039.9300,1,37
utility,phone,1039.9300,1,37
null,null,null,null,38
null,null,null,null,39
null,null,null,null,40
null,null,null,null,41
null,null,null,null,42
null,null,null,null,43
null,null,null,null,44
null,null,null,null,45
null,null,null,null,46
null,null,null,null,47
null,null,null,null,48
loan,credit_card,1645.0000,1,49
null,null,null,null,50
finance,digital_wallet,500.0000,1,51
null,null,null,null,52
null,null,null,null,53
automotive,car_dealer,1900.0000,1,54
null,null,null,null,55
null,null,null,null,56
finance,digital_wallet,702.0000,2,57
finance,digital_wallet,3400.0000,7,57
shopping,e_commerce,702.0000,2,57
utility,water,75.7600,1,57
utility,phone,376.6400,1,58
finance,payment_gateway,199.0000,1,59
finance,digital_wallet,76.0000,1,60
shopping,e_commerce,76.0000,1,60
utility,internet,800.3600,1,61
null,null,null,null,62
null,null,null,null,63
null,null,null,null,64
null,null,null,null,65
null,null,null,null,66
null,null,null,null,67
null,null,null,null,68
null,null,null,null,69
null,null,null,null,70
finance,digital_wallet,100.0000,1,71
finance,payment_gateway,480.4300,1,72
finance,payment_gateway,89.0000,1,73
loan,auto_loan,9585.0000,1,73
medical,hospital,1170.0000,1,73
utility,electricity,749.0000,1,73
utility,phone,374.5000,1,73
finance,digital_wallet,2396.0100,4,74
finance,digital_wallet,1080.0000,1,74
finance,digital_wallet,300.0000,1,74
finance,payment_gateway,395.4700,3,74
shopping,e_commerce,2396.0100,4,74
shopping,e_commerce,1080.0000,1,74
null,null,null,null,75
null,null,null,null,76
finance,digital_wallet,830.0000,1,77
finance,digital_wallet,1860.0000,5,77
finance,digital_wallet,2494.2500,10,77
finance,payment_gateway,830.0000,1,77
shopping,e_commerce,830.0000,1,77
shopping,e_commerce,1860.0000,5,77
null,null,null,null,78
null,null,null,null,79
null,null,null,null,80
null,null,null,null,81
finance,payment_gateway,3169.0000,1,82
loan,unsecured_loan,779.0000,1,82
finance,digital_wallet,3721.4300,6,83
finance,payment_gateway,1120.0000,1,83
finance,payment_gateway,747.9300,1,83
shopping,e_commerce,3721.4300,6,83
null,null,null,null,84
finance,digital_wallet,545.0000,2,85
finance,payment_gateway,3800.9200,4,85
home_and_living,home_improvement,194.0000,1,85
restaurant,chain_restaurant,649.0000,1,85
shopping,department_store,1726.0000,14,85
shopping,e_commerce,545.0000,2,85
finance,digital_wallet,400.0000,2,86
finance,digital_wallet,632.0000,2,87
shopping,e_commerce,632.0000,2,87
null,null,null,null,88
finance,digital_wallet,1793.0000,5,89
finance,digital_wallet,3900.0000,12,89
loan,credit_card,2000.0000,1,89
shopping,e_commerce,1793.0000,5,89
utility,internet,375.0000,1,89
utility,internet,140.0000,1,89
null,null,null,null,90
medical,hospital,99324.7500,2,91
medical,public_hospital,99324.7500,2,91
utility,internet,426.9300,1,91
utility,phone,426.9300,1,91
null,null,null,null,92
null,null,null,null,93
utility,internet,750.0000,1,94
utility,phone,750.0000,1,94
finance,digital_wallet,885.0000,3,95
finance,digital_wallet,508.0000,1,95
finance,payment_gateway,194.6000,1,95
null,null,null,null,96
business,ads,22800.0000,14,97
finance,digital_wallet,2857.8900,2,97
finance,payment_gateway,1296.0000,1,97
insurance,insurance,370.0000,1,97
insurance,other_insurance,370.0000,1,97
shopping,e_commerce,2857.8900,2,97
null,null,null,null,98
null,null,null,null,99
personal_care,beauty_salon,463.2500,2,100
restaurant,chain_restaurant,189.0000,1,100
null,null,null,null,101
null,null,null,null,102
null,null,null,null,103
null,null,null,null,104
loan,credit_card,1203.2500,1,105
entertainment,streaming_service,617.0000,1,106
entertainment,streaming_service,139.0000,1,106
finance,digital_wallet,6214.0900,5,106
finance,digital_wallet,1359.9600,1,106
shopping,e_commerce,6214.0900,5,106
null,null,null,null,107
null,null,null,null,108
loan,auto_loan,3112.0000,1,109
utility,internet,426.9300,1,109
utility,phone,426.9300,1,109
home_and_living,home_improvement,45.0000,1,110
finance,digital_wallet,2000.0000,3,111
finance,payment_gateway,1808.8700,1,111
loan,credit_card,90705.5600,1,111
loan,credit_card,7118.8100,2,111
loan,credit_card,19400.0000,4,111
utility,electricity,2059.6600,1,111
null,null,null,null,112
null,null,null,null,113
null,null,null,null,114
null,null,null,null,115
charity,charitable_donation,88.0000,1,116
investment,gold,759606.0000,4,116
null,null,null,null,117
restaurant,chain_restaurant,76.0000,1,118
utility,electricity,90.6800,1,118
null,null,null,null,119
null,null,null,null,120
null,null,null,null,121
null,null,null,null,122
shopping,grocery,2000.0000,4,123
shopping,grocery,7025.0000,3,123
null,null,null,null,124
null,null,null,null,125
null,null,null,null,126
finance,digital_wallet,3126.5400,1,127
finance,digital_wallet,1580.0000,13,127
loan,unsecured_loan,1000.0000,1,127
loan,unsecured_loan,1000.0000,1,127
shopping,e_commerce,3126.5400,1,127
null,null,null,null,128
null,null,null,null,129
bank,transfer_to_bank,12650.0000,1,130
finance,digital_wallet,200.0000,2,130
loan,credit_card,8550.0000,2,130
loan,credit_card,18502.2800,4,130
utility,internet,3073.0000,3,130
utility,phone,3073.0000,3,130
loan,credit_card,1977.0300,1,131
charity,religious,19.0000,1,132
medical,dental_clinic,900.0000,1,132
utility,electricity,3176.9200,3,132
utility,internet,977.3600,2,132
utility,internet,426.9300,1,132
utility,phone,977.3600,2,132
null,null,null,null,133
education,international_school,2100.0000,3,134
finance,payment_gateway,674.0000,1,134
loan,credit_card,5000.0000,1,134
utility,internet,739.2100,2,134
utility,water,457.2300,2,134
finance,digital_wallet,2280.0000,1,135
finance,digital_wallet,11681.0000,8,135
finance,digital_wallet,1013.0000,6,135
finance,digital_wallet,200.0000,1,135
finance,payment_gateway,2280.0000,1,135
home_and_living,home_expense,320.0000,1,135
loan,credit_card,6000.0000,2,135
loan,credit_card,39700.0000,2,135
loan,credit_card,10000.0000,1,135
shopping,e_commerce,2280.0000,1,135
shopping,e_commerce,11681.0000,8,135
shopping,grocery,35.0000,1,135
utility,internet,1602.8600,1,135
utility,phone,1602.8600,1,135
null,null,null,null,136
null,null,null,null,137
null,null,null,null,138
null,null,null,null,139
null,null,null,null,140
loan,credit_card,1049.0000,1,141
null,null,null,null,142
loan,credit_card,150129.9500,3,143
null,null,null,null,144
finance,payment_gateway,100.0000,1,145
finance,payment_gateway,595.9300,1,145
insurance,insurance,5030.9100,1,145
insurance,life_insurance,5030.9100,1,145
insurance,life_insurance,5030.9100,1,145
medical,hospital,150.0000,1,145
medical,public_hospital,150.0000,1,145
shopping,department_store,1035.0000,1,145
finance,digital_wallet,200.0000,1,146
finance,payment_gateway,1860.5700,2,146
home_and_living,home_expense,776.0000,1,146
shopping,convenience_store,300.0000,1,146
shopping,convenience_store,300.0000,1,146
utility,electricity,3986.3300,1,146
null,null,null,null,147
null,null,null,null,148
null,null,null,null,149
finance,digital_wallet,837.0000,14,150
finance,payment_gateway,154.0800,1,151
medical,pharmacy,170.0000,1,151
insurance,other_insurance,2577.0000,1,152
shopping,department_store,109000.0000,7,152
utility,internet,1262.8600,3,152
utility,phone,1262.8600,3,152
null,null,null,null,153
finance,payment_gateway,500.0000,1,154
home_and_living,property_developer,2310.0000,5,154
loan,auto_loan,16000.0000,1,154
loan,credit_card,47170.0000,4,154
loan,unsecured_loan,12460.0000,1,154
restaurant,food_delivery,237.0000,3,154
null,null,null,null,155
finance,payment_gateway,795.3900,4,156
null,null,null,null,157
null,null,null,null,158
finance,payment_gateway,631.3000,1,159
finance,payment_gateway,445.3900,1,159
utility,internet,1788.0000,2,159
utility,internet,500.0000,1,159
utility,phone,1788.0000,2,159
insurance,life_insurance,2492.7000,1,160
loan,credit_card,20234.9300,1,160
null,null,null,null,161
finance,digital_wallet,527.3300,2,162
finance,payment_gateway,4383.9200,3,162
loan,credit_card,30900.0000,1,162
shopping,e_commerce,527.3300,2,162
null,null,null,null,163
home_and_living,home_expense,459.8600,1,164
shopping,convenience_store,1800.0000,1,164
home_and_living,home_improvement,304.0000,1,165
pet_care,pet_hospital,1120.0000,1,165
utility,gas_station,14530.0000,4,165
utility,internet,645.7500,1,165
utility,phone,645.7500,1,165
null,null,null,null,166
null,null,null,null,167
loan,credit_card,1500.0000,2,168
pet_care,pet_hospital,867.0000,2,168
null,null,null,null,169
loan,credit_card,2753.4000,1,170
medical,hospital,1607.0000,1,170
utility,water,454.7500,1,170
null,null,null,null,171
null,null,null,null,172
shopping,grocery,3000.0000,1,173
home_and_living,home_improvement,208.0000,1,174
loan,credit_card,11702.4900,1,174
null,null,null,null,175
null,null,null,null,176
null,null,null,null,177
null,null,null,null,178
null,null,null,null,179
finance,digital_wallet,170.0000,1,180
finance,payment_gateway,758.9500,2,180
shopping,e_commerce,170.0000,1,180
loan,credit_card,2000.0000,1,181
loan,credit_card,500.0000,1,181
null,null,null,null,182
finance,digital_wallet,515.0000,1,183
finance,digital_wallet,200.0000,1,183
finance,payment_gateway,515.0000,1,183
shopping,e_commerce,515.0000,1,183
loan,auto_loan,4942.0000,1,184
utility,gas_station,20.0000,1,184
finance,payment_gateway,418.0000,1,185
loan,credit_card,4492.8600,1,185
null,null,null,null,186
shopping,convenience_store,2500.0000,2,187
null,null,null,null,188
restaurant,chain_restaurant,396.0000,1,189
utility,phone,266.4300,1,189
shopping,grocery,15200.0000,1,190
null,null,null,null,191
null,null,null,null,192
finance,digital_wallet,78.0000,1,193
shopping,e_commerce,78.0000,1,193
utility,internet,319.9300,1,193
utility,internet,1316.3800,2,193
utility,phone,319.9300,1,193
utility,phone,1078.7900,2,193
finance,digital_wallet,6100.0000,18,194
finance,payment_gateway,236.0000,2,194
home_and_living,property_developer,6000.0000,1,194
loan,credit_card,1000.0000,1,194
utility,internet,2244.8600,2,194
utility,phone,2244.8600,2,194
utility,water,295.3200,1,194
finance,digital_wallet,4635.4000,1,195
insurance,life_insurance,1643.0000,1,195
medical,hospital,800.0000,1,195
medical,public_hospital,800.0000,1,195
restaurant,food_delivery,940.0000,5,195
shopping,e_commerce,4635.4000,1,195
utility,internet,801.9700,1,195
