Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,Summary,Education_T1,Marital_Status_T1,Occupation_Group_T1,Region_T1,Number_of_Children_T1,Reason
0.0,Unknown,Female,bachelor's degree,married - registered,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,43,Southern,Professional,3645,"This customer represents a 43-year-old married professional female residing in the Southern region, with a bachelor's degree and no children. While her number of vehicles is unspecified, her financial behaviors suggest a moderate engagement with financial services. She maintains three savings accounts, indicating a focus on personal financial management and potentially long-term goals, though she does not utilize deposit accounts, which may suggest a preference for other saving mechanisms. Her lending activity is active, pointing to possible borrowing for personal needs or investments, but she does not engage in business lending, suggesting she is likely not self-employed or managing a business. She leverages payment services, showing an active consumer role, though her health insurance usage is nonexistent, which could indicate reliance on external coverage or alternative health arrangements. Her financial behavior suggests a practical, goal-oriented individual who prioritizes savings and payment convenience but may have limited variability in transaction activities due to the absence of detailed inflow/outflow data. This profile typifies a mid-life professional focused on maintaining financial stability and modest engagement with credit, positioning her as a structured, financially cautious customer likely seeking straightforward, reliable financial solutions.",bachelor's degree,married - registered,Professional,Southern,1.0,"**Key Changes:**  
1. Number of Children increased from 0.0 to 1.0.  
2. No significant change in education, marital status, occupation, or region.  

**Root Causes:**  
The addition of a child suggests a major life event and shift in priorities. Likely motivations include increased household needs (e.g., childcare, education, healthcare) and long-term financial planning for family stability.  

**Financial Impact:**  
This transition likely introduces higher expenses (e.g., childcare, health insurance, savings for education) and may increase reliance on lending or savings withdrawals. If the customer does not adjust her financial strategies, it may strain her budget, though the savings accounts suggest she has a buffer to manage new costs. Overall, the impact is likely *neutral to slightly negative* in the short-term, depending on her planning.  

**Behavioral Pattern:**  
The customer is shifting from personal financial management to family-oriented planning. While her structured approach to savings and borrowing offers stability, her financial behavior may evolve toward greater diversification and precautionary measures to address family-related needs."
0.0,0.0,Male,less than high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,39,Northeastern,Corporate Employee,2515,"This customer represents a 39-year-old single male residing in the Northeastern region, employed in the corporate sector. With less than a high school education and no children or vehicles, he demonstrates limited financial engagement across all services—his profile shows no active savings accounts, health insurance, lending, payment services, or business lending products. Additionally, he does not maintain a deposit account, and no transaction data is available to assess inflows, outflows, or balances. This suggests a financial behavior characterized by either minimal banking interaction or a preference for alternative financial systems outside traditional banking channels. The absence of financial products and behavioral data indicates he may be operating on a cash-only basis or relying on informal financial networks. His lack of engagement with savings or lending products might point to either financial instability or a deliberate choice to avoid structured financial commitments. As a corporate employee, his stable occupation could present a potential opportunity for financial institutions to introduce tailored services that fit his lifestyle and encourage gradual adoption of financial products. Overall, this customer represents a financially unengaged individual who may require targeted outreach to integrate into the banking ecosystem.",less than high school,single,Freelancer,Northeastern,0.0,"**Key Changes:**
1. Occupation shifted from Corporate Employee to Freelancer.
2. No additional engagement with financial products or services.
3. Demographics and other personal attributes remained unchanged.

**Root Causes:**  
The shift to freelancing suggests a desire for flexibility, autonomy, or a need to adapt to employment challenges. It may indicate either voluntary pursuit of entrepreneurial opportunities or job instability in the corporate sector. The lack of new financial product usage suggests hesitancy to adopt structured financial tools, possibly due to income uncertainty or reliance on cash-based systems.

**Financial Impact:**  
Neutral to slightly negative. Freelancing often brings irregular income and reduced access to benefits like employer-sponsored health insurance, which could hinder savings and financial planning. However, freelancing offers potential for income growth, which could improve financial stability if managed effectively.

**Behavioral Pattern:**  
The customer’s financial behavior remains disengaged, despite a shift in employment. This reinforces a pattern of risk aversion or reliance on informal financial systems. The transition to freelancing highlights a preference for independence but underscores minimal interaction with traditional banking institutions."
0.0,Unknown,Female,others,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,25,Central,Student,1350,"This customer is a 25-year-old female student residing in the Central region, with unspecified education and marital status. She has no children, and her vehicle ownership is unknown. Her engagement with financial services appears minimal, as she does not currently hold a savings account, health insurance, lending products, payment services, business lending, or deposit accounts. There are no transaction records or balance details available, suggesting either a lack of financial activity or limited banking relationships. As a young individual in the student demographic, she may rely on external financial support or informal financial systems, which is common for individuals in transitional life stages. Her profile reflects someone likely at the beginning of their financial journey, with potential future needs for entry-level financial products such as basic savings accounts or student-focused lending options. This customer represents a financially inactive or underserved segment, providing opportunities to engage with tailored offerings that match early-stage financial behaviors and needs.",others,married,Entrepreneur,Central,0.0,"### Key Changes:
1. **Marital Status**: Transitioned from ""others"" to ""married.""  
2. **Occupation**: Shifted from ""Student"" to ""Entrepreneur.""  
3. **Number of Children**: Remained at 0.0, indicating no change in parental responsibilities.  

### Root Causes:
The shift to entrepreneurship and marriage suggests significant life transitions. Marriage may bring dual-income potential, shared financial planning, and increased financial responsibilities. Entrepreneurship implies independence, risk-taking, and the need for business-related financial products like lending or savings tools. These changes likely stem from entering adulthood and seeking financial autonomy.  

### Financial Impact:
**Positive**: Entrepreneurship often drives increased financial activity, such as income generation, business investments, and banking product engagement. Marriage can enhance financial stability through shared resources but may also introduce joint expenses. Overall, these transitions create opportunities for tailored financial services.  

### Behavioral Pattern:
The customer is transitioning from financial inactivity (T0) to an active, growth-focused phase (T1). The entrepreneurial shift, coupled with marriage, signals increasing financial independence and a likely demand for both personal and business financial products. This is a shift from reliance on external support to self-driven financial behavior."
0.0,Unknown,Female,Unknown,single,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Central,Student,1008,"This customer is a 21-year-old single female student residing in the Central region. While her education level and number of vehicles are unspecified, her demographic profile reflects someone likely focused on academic pursuits without current familial or professional obligations. She has no children and primarily utilizes basic financial services, including two savings accounts, health insurance, and a deposit account, the latter with a modest balance of $6.64 but no recorded transactions or inflows/outflows. Her financial behavior suggests minimal engagement with lending, payment, or business services, indicative of someone in an early life stage with limited income or financial activity. The absence of deposit account transactions, alongside no variability in inflows or outflows, highlights a static financial relationship, likely driven by low-income student status or reliance on external financial support. This customer appears to prioritize foundational financial tools like savings for future needs while maintaining a low level of transactional engagement, emphasizing simplicity and stability over complexity. Similar customers would likely include young individuals in transitional life stages—students or early-career professionals—who value essential financial services without utilizing advanced or high-frequency financial products.",Unknown,single,Corporate Employee,Central,0.0,"**Key Changes:**  
1. Occupation transitioned from *Student* to *Corporate Employee.*  
2. No changes in marital status, number of children, or region, indicating stability in personal circumstances.  
3. Financial activity remains static, with no new account transactions or inflows/outflows observed despite the occupational shift.  

**Root Causes:**  
The transition to corporate employment likely reflects graduation or entry into the workforce, signifying a shift from dependence on external financial support (e.g., family) to earning an income. However, no observable financial activity suggests limited disposable income, cautious spending, or delayed financial engagement (e.g., awaiting first paycheck).  

**Financial Impact:**  
Neutral. While employment increases earning potential, the unchanged account balances and lack of transactions suggest no immediate financial improvement or shift in spending behavior.  

**Behavioral Pattern:**  
The customer shows an early-career financial profile, prioritizing stability while adapting to employment. Despite entering the workforce, her financial activity remains static, signaling a cautious approach to managing finances, likely influenced by a lack of immediate income flow or a focus on saving."
0.0,1.0,Female,bachelor's degree,married - registered,3.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,2462.44,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,12000.0,9650.0,50,Central,Corporate Employee,675,"This customer is a 50-year-old, married female with a bachelor's degree, residing in the Central region. As a corporate employee with no children and one vehicle, she represents a professional with a stable yet modest lifestyle. Her financial behavior reflects a balanced approach to managing money, with three savings accounts indicating a preference for diversification and security. She holds health insurance and engages in lending and payment services, suggesting a focus on both personal well-being and convenience. Her deposit account showcases moderate activity, with a steady average of three transactions per period and a current balance of $2,462.44. Inflows into the deposit account total $12,000, while outflows average $9,650, highlighting consistent income and controlled expenditures, leaving her with a comfortable surplus. Inflows are more frequent and slightly larger than outflows, suggesting disciplined budgeting and financial management. Despite not having business lending, her broad usage of financial services points to a practical approach to personal finance. This customer likely values reliability and structure in her financial dealings, making her an ideal match for services tailored to mid-career professionals who prioritize stability, convenience, and moderate spending habits. She embodies the profile of a financially cautious individual focused on maintaining a balanced lifestyle.",bachelor's degree,married - registered,Corporate Employee,Central,0.0,"**Key Changes:**  
1. No significant changes in demographic, occupational, or financial profile between T0 and T1.  
2. Education, marital status, occupation, region, and number of children remain unchanged.  
3. Financial activity metrics (e.g., deposit account balance, transactions, inflow, and outflow amounts) are constant, indicating no shifts in spending or saving behavior.

**Root Causes:**  
The lack of observable changes suggests financial and life stability. This customer may be in a steady career phase, with consistent income and no major disruptions or life events (e.g., job change, family expansion, or relocating).  

**Financial Impact:**  
Neutral. The absence of changes implies continued financial balance, with stable inflows ($12,000) exceeding outflows ($9,650), leaving a surplus that supports ongoing stability.  

**Behavioral Pattern:**  
The customer demonstrates consistent financial behavior, maintaining disciplined spending and saving habits. Her lack of major financial or demographic shifts suggests a preference for stability and reliability, likely prioritizing long-term financial security over significant lifestyle changes."
0.0,1.0,Female,high school,married,4.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,18159.05,437.0,14.1,6.0,30.0,310.0,3.0,22.0,127.0,1.0,9.0,1455334.0,1494986.69,39,Northeastern,Entrepreneur,2413,"This customer represents a 39-year-old married female entrepreneur based in the Northeastern region, with a high school education and a stable family setup including one vehicle but no children. Her financial behavior indicates a disciplined and moderately active approach to managing personal finances, with four savings accounts and a single deposit account holding a balance of $18,159.05. Despite not utilizing lending or business lending services, her payment service engagement is moderate, suggesting a reliance on digital or card-based transactions for personal or business purposes. With 437 deposit account transactions per year, averaging 14.1 per month, her financial activity is consistent, though variability exists with monthly transaction volumes ranging from 6 to 30. She demonstrates strong cash flow management, with significant inflows of $1,455,334 and slightly higher outflows totaling $1,494,986.69, indicating a tight alignment of income and expenditure. Her inflows per transaction average $310, while outflows average $127, reflecting a propensity for larger incoming amounts balanced by smaller, more frequent outgoing payments. The customer’s low variability in transaction amounts (inflows ranging from $3 to $22 and outflows from $1 to $9) suggests predictable cash flow patterns, likely tied to entrepreneurial income and expense cycles. This profile aligns with a financially independent, growth-oriented entrepreneur managing stable yet active accounts, ideal for comparison with similarly self-sufficient, moderate-risk customers.",high school,single,Entrepreneur,Northeastern,0.0,"**Key Changes:**  
1. Marital Status shifted from married to single.  
2. No changes in financial activity indicators like account balances, transaction patterns, or cash flow metrics, signaling stability in financial habits.  
3. Core demographic and occupational attributes remained constant, with no new dependencies (e.g., children or lending).  

**Root Causes:**  
The transition from married to single suggests a potential personal life shift, such as divorce or separation, but the absence of financial disruptions indicates that the customer likely retained financial independence, avoiding significant asset loss or debt reallocation.  

**Financial Impact:**  
Neutral. There is no evidence of a material shift in financial behavior, cash flow, or account balances. The customer remains disciplined and stable in managing her finances despite the personal change.  

**Behavioral Pattern:**  
The customer exhibits resilience and consistency in financial behavior. Despite the marital status change, her predictable inflow and outflow patterns, along with stable account balances, suggest minimal financial impact. She continues demonstrating a cautious and growth-oriented approach to cash flow."
0.0,Unknown,Male,Unknown,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,0.98,206.0,8.24,2.0,27.0,84.0,1.0,10.0,122.0,1.0,17.0,10355.0,10355.0,23,Central,Freelancer,448,"This customer is a 23-year-old single male freelancer based in the Central region, reflecting a youthful, independent professional lifestyle. His educational background is unknown, and he does not have children or disclosed vehicle ownership. Financially, he demonstrates a preference for managing multiple savings accounts, with four active accounts, indicating a habit of compartmentalizing savings or targeting specific financial goals. He maintains limited engagement with health insurance and payment services, suggesting basic coverage and moderate transactional activity. Despite no lending or business lending products, he actively uses a deposit account with a modest balance of 0.98 and a high transaction count of 206 over a period, averaging 8.24 transactions per cycle. His transaction patterns reveal consistent inflows and outflows, with inflow amounts totaling 10,355 and matching outflows, underscoring a balanced cash flow management strategy. While inflows peak at 10 and outflows at 17 per transaction, variability within his deposit activity suggests he manages a fluctuating income typical of freelance work. His financial behavior indicates a pragmatic and disciplined approach, characterized by regular inflows paired with careful outflows. This profile reflects a young, adaptive, and self-sufficient customer likely to prioritize short-term liquidity and basic financial tools over long-term commitments or complex products.",Unknown,married - registered,Corporate Employee,Central,0.0,"**Key Changes:**  
1. Marital status changed from single to married - registered.  
2. Occupation shifted from freelancer to corporate employee.  
3. No change in the number of children or region, maintaining stability in these areas.

**Root Causes:**  
The transition from freelancing to corporate employment suggests a shift toward financial stability, likely influenced by the responsibilities and financial security considerations of marriage. Marriage may also motivate structured income and benefits (e.g., health insurance and retirement plans) associated with corporate work.

**Financial Impact:**  
Positive. A corporate role likely provides a stable income, benefits, and reduced income variability, addressing previously fluctuating cash flows. This can support long-term financial planning, savings growth, and access to credit or investment products.

**Behavioral Pattern:**  
The customer is transitioning from an independent, flexible financial approach to a structured, stability-focused model, likely prioritizing consistent income and security. This reflects maturity and life-stage progression, aligning financial behavior with evolving personal responsibilities."
0.0,Unknown,Female,others,single,4.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,208.92,12.0,1.33,1.0,4.0,3.0,1.0,1.0,9.0,1.0,4.0,5300.0,5350.0,27,Central,Student,2640,"This customer is a 27-year-old single female residing in the Central region and currently studying, categorized under the student occupation group. With no children and an unspecified number of vehicles, she represents a younger, independent demographic with a focus on personal development. Her financial profile highlights a moderate engagement with banking services, including active usage of savings and payment services, alongside a deposit account holding a modest balance of $208.92. She conducts an average of 1.33 transactions per month, with a total of 12 transactions recorded, indicating regular but low-frequency account activity. Her deposit account inflows and outflows are closely matched at $5,300 and $5,350, respectively, suggesting a balanced cash flow with minimal savings accumulation. Inflows are consistent but relatively small, capped at $1,000 per transaction, while outflows show slightly more variability, ranging from $1 to $4, hinting at steady, predictable spending patterns for daily needs or subscriptions. She does not currently utilize lending, business lending, or additional financial services, reflecting a conservative financial approach typical of students with limited income sources. Her financial behavior, marked by consistent but low-volume transactions and reliance on basic banking tools, aligns with a tech-savvy, budget-conscious individual likely prioritizing short-term financial stability.",bachelor's degree,single,Corporate Employee,Central,0.0,"### Key Changes:
1. Education upgraded from ""others"" to ""bachelor's degree.""
2. Occupation transitioned from ""Student"" to ""Corporate Employee.""
3. No change in region, marital status, or dependents, indicating a stable personal context.

### Root Causes:
The customer likely completed her education and secured employment in the corporate sector. This marks a shift from academic to professional life, driven by career progression and financial independence goals.

### Financial Impact:
The transition is likely **positive**. Moving from a student to a corporate employee implies a potential increase in income and financial resources. This could enhance her capacity to save, invest, or utilize additional financial products in the future.

### Behavioral Pattern:
The customer is transitioning from a low-income, savings-focused financial behavior to potentially higher inflows, enabling broader financial engagement. The stable demographic context suggests a predictable shift toward professional financial priorities, such as wealth accumulation or debt management."
0.0,0.0,Female,high school,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,300.0,32,Central,Entrepreneur,3461,"This customer is a 32-year-old single female entrepreneur based in the Central region who has completed high school education. With no children or vehicles, she appears focused on building her professional and financial foundation. Her financial relationship reflects a balanced but modest approach: she actively maintains three savings accounts, indicating a preference for diversification and financial stability. She utilizes two payment services and has one deposit account, though the balance remains at zero, suggesting she uses it primarily for transactional purposes rather than long-term savings. Her deposit account sees consistent inflows and outflows of $300 with minimal variability, pointing to structured financial habits, likely tied to predictable business revenue and expenses. She has no lending or business lending products, which suggests a cautious approach to debt or reliance on self-funding for entrepreneurial ventures. Additionally, her health insurance usage highlights a focus on basic financial security. Overall, this profile represents a self-reliant, disciplined customer who values financial stability and controlled cash flow, likely balancing entrepreneurial efforts with personal financial goals. Similar customers may share traits of being early-career professionals or small business owners with streamlined, predictable financial behaviors.",high school,divorce,Corporate Employee,Central,0.0,"**Key Changes:**  
1. Marital Status shifted from single to divorced.  
2. Occupation transitioned from Entrepreneur to Corporate Employee.  
3. No change in other financial activity metrics or demographic details.

**Root Causes:**  
The change in marital status likely reflects a significant personal life adjustment, potentially influencing her financial priorities. Transitioning to corporate employment suggests a shift to greater income stability and structured work conditions, possibly driven by the need for financial security post-divorce or a reassessment of professional goals.

**Financial Impact:**  
Neutral to positive. Corporate employment likely provides steady income, benefits, and reduced financial risk compared to entrepreneurial ventures. However, no observed increase in savings, lending, or account balances suggests she remains cautious or is in a transitional phase financially.

**Behavioral Pattern:**  
The shift from entrepreneur to corporate employee indicates a move towards predictable financial stability, likely motivated by life circumstances such as divorce. Her consistent transactional habits and lack of changes in account balances suggest she remains disciplined, prioritizing control and cash flow management over aggressive financial growth."
0.0,0.0,Female,bachelor's degree,single,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,88.43,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,50.0,40,Central,Corporate Employee,2065,"This customer is a 40-year-old single female corporate employee residing in the Central region, holding a bachelor's degree. With no children or vehicles, she represents an independent and career-focused demographic. Her financial behavior reflects a minimalistic approach, characterized by limited engagement with financial services. She maintains one savings account and one deposit account, with the deposit account showing low activity, a balance of $88.43, and a single outflow transaction of $50. Notably, there are no inflows recorded in her deposit account, suggesting reliance on external financial sources or a preference for alternative banking methods. She is enrolled in health insurance but does not utilize lending, payment services, or business-related financial products, indicating a conservative and risk-averse financial strategy. The lack of variability in her transaction patterns points to a stable and predictable financial lifestyle, potentially oriented toward simplicity and maintenance rather than growth or investment. This profile typifies a mid-career professional with modest financial activity, a practical outlook, and minimal transactional complexity, making her an archetype for customers who prioritize straightforward banking solutions without extensive diversification in financial products.",bachelor's degree,married,Entrepreneur,Central,0.0,"**Key Changes:**  
1. Marital status changed from single to married.  
2. Occupation changed from corporate employee to entrepreneur.  
3. No change in children or vehicles, indicating personal responsibilities remain stable.  

**Root Causes:**  
The shift from single to married suggests a significant personal milestone, likely contributing to a reevaluation of financial priorities. Transitioning to entrepreneurship reflects a career pivot, likely driven by a desire for independence or financial growth. Both changes may indicate greater confidence in risk-taking and long-term planning.  

**Financial Impact:**  
The financial implications are mixed. Marriage may introduce dual-income benefits, but entrepreneurship could increase financial uncertainty due to irregular cash flows and business-related expenses. Overall, the financial impact leans toward a cautiously positive trajectory, depending on the success of her entrepreneurial ventures.  

**Behavioral Pattern:**  
The customer has shifted from a stable, conservative financial approach to one that reflects ambition and risk acceptance. Her entrepreneurial role suggests a proactive mindset, likely leading to greater financial diversification and complexity over time. This marks a transition from maintenance to growth-oriented financial behavior.  "
