field,experiment,constraints,correct,total,accuracy,f1 macro,f1 micro,excluded (unknown)
education,clus_multi,no,637,758,0.84,0.808,0.84,112
education,clus_multi,yes,618,758,0.815,0.776,0.815,112
education,clus_single,no,620,758,0.818,0.777,0.818,112
education,indiv_multi,no,620,758,0.818,0.779,0.818,112
education,indiv_single,no,615,758,0.8109999999999999,0.774,0.811,112
education,rag_multi,no,641,758,0.846,0.811,0.846,112
education,rag_single,no,581,758,0.7659999999999999,0.73,0.766,112
marital_status,clus_multi,no,688,868,0.7929999999999999,0.517,0.793,2
marital_status,clus_multi,yes,678,868,0.7809999999999999,0.386,0.781,2
marital_status,clus_single,no,674,868,0.7759999999999999,0.528,0.776,2
marital_status,indiv_multi,no,692,868,0.797,0.553,0.797,2
marital_status,indiv_single,no,702,868,0.809,0.479,0.809,2
marital_status,rag_multi,no,672,868,0.774,0.444,0.774,2
marital_status,rag_single,no,634,868,0.73,0.379,0.73,2
num_children,clus_multi,no,803,870,0.9229999999999999,0.604,0.923,0
num_children,clus_multi,yes,801,870,0.9209999999999999,0.58,0.921,0
num_children,clus_single,no,804,870,0.924,0.605,0.924,0
num_children,indiv_multi,no,804,870,0.924,0.605,0.924,0
num_children,indiv_single,no,801,870,0.9209999999999999,0.597,0.921,0
num_children,rag_multi,no,802,870,0.922,0.603,0.922,0
num_children,rag_single,no,782,870,0.899,0.571,0.899,0
occupation,clus_multi,no,532,870,0.611,0.202,0.611,0
occupation,clus_multi,yes,497,870,0.5710000000000001,0.23,0.571,0
occupation,clus_single,no,493,870,0.5670000000000001,0.283,0.567,0
occupation,indiv_multi,no,503,870,0.578,0.253,0.578,0
occupation,indiv_single,no,477,870,0.5479999999999999,0.279,0.548,0
occupation,rag_multi,no,500,870,0.575,0.228,0.575,0
occupation,rag_single,no,448,870,0.515,0.265,0.515,0
region,clus_multi,no,696,870,0.8,0.764,0.8,0
region,clus_multi,yes,697,870,0.8009999999999999,0.765,0.801,0
region,clus_single,no,697,870,0.8009999999999999,0.766,0.801,0
region,indiv_multi,no,697,870,0.8009999999999999,0.766,0.801,0
region,indiv_single,no,697,870,0.8009999999999999,0.766,0.801,0
region,rag_multi,no,678,870,0.779,0.557,0.779,0
region,rag_single,no,638,870,0.733,0.686,0.733,0
