NO_OF_CHLD,EDU_DESC,MRRY_DESC,ADDR_PRVC,OCPN_DESC,NO_OF_CHLD_prev,EDU_DESC_prev,MRRY_DESC_prev,ADDR_PRVC_prev,OCPN_DESC_prev
0.0,high school,single,ปราจีนบุรี,service business employee,0.0,high school,single,ปราจีนบุรี,"student, university student"
0.0,,single,นครราชสีมา,agricultural/ agro industry entrepreneur,0.0,,single,นครราชสีมา,industrial business employee
0.0,vocational certificate/ diploma,married,ปทุมธานี,industrial business employee,0.0,vocational certificate/ diploma,single,ปทุมธานี,"employee of company, store, office"
0.0,high school,single,เชียงใหม่,service business employee,0.0,high school,single,แม่ฮ่องสอน,industrial business employee
0.0,high school,single,สมุทรสงคราม,service business entrepreneur,0.0,high school,married,สมุทรสงคราม,housewife/househusband
0.0,high school,single,ชลบุรี,commerce employee,0.0,high school,single,ปทุมธานี,"student, university student"
2.0,vocational certificate/ diploma,widow,พระนครศรีอยุธยา,service business employee,2.0,vocational certificate/ diploma,widow,พระนครศรีอยุธยา,unemployed
0.0,,single,กรุงเทพมหานคร,commerce employee,0.0,,single,กรุงเทพมหานคร,commerce employee
0.0,others,single,ลำปาง,industrial business employee,0.0,others,single,ลำปาง,"student, university student"
0.0,bachelor's degree,single,เชียงราย,nurse,0.0,bachelor's degree,married - registered,เชียงราย,service business employee
0.0,bachelor's degree,married,สุรินทร์,government employee,0.0,bachelor's degree,married - non registered,สุรินทร์,government employee
0.0,others,single,กรุงเทพมหานคร,service business employee,0.0,others,single,กรุงเทพมหานคร,service business employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee
1.0,high school,married,อุบลราชธานี,unemployed,1.0,high school,married,อุบลราชธานี,freelance
0.0,others,married,นครปฐม,service business entrepreneur,3.0,others,married,นครปฐม,service business entrepreneur
0.0,bachelor's degree,married,นครปฐม,service business entrepreneur,0.0,bachelor's degree,married,นครปฐม,industrial business employee
0.0,high school,married,สงขลา,industrial business employee,0.0,high school,single,สงขลา,service business employee
