Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,Demog Summary
0.0,0.0,Male,less than high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,47,Central,Corporate Employee,2285,"This customer embodies a mid-life male corporate professional situated in the Central region. With less than a high school education, his career path reflects a focus on practical skills and workplace experience. As a single individual without children, his lifestyle likely emphasizes personal interests and career advancement, rather than family-oriented priorities."
0.0,Unknown,Female,bachelor's degree,single,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3949.84,23.0,1.92,1.0,4.0,6.0,1.0,1.0,17.0,1.0,3.0,11000.0,10860.0,44,Northern,Corporate Employee,3432,"This individual represents a mid-career female corporate professional residing in the Northern region. With a bachelor's degree shaping her career trajectory, she brings a strong educational foundation to her role. As a single woman without children, her lifestyle is likely focused on personal growth, career advancement, and leisure pursuits."
0.0,Unknown,Female,others,others,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,651.12,72.0,3.6,1.0,22.0,40.0,1.0,14.0,32.0,1.0,8.0,48917.0,48266.0,21,Central,Student,3159,"This individual is a young adult female pursuing her studies, residing in the Central region. With her educational background categorized as ""others"" and no children, she is likely focused on academic or personal growth at this stage of life. Her marital status, also classified as ""others,"" suggests she may not currently fit into traditional relationship categories, further emphasizing her independent and exploratory phase."
0.0,1.0,Female,bachelor's degree,married,7.0,7.0,3.0,1.0,2.0,1.0,0.0,1.0,3321.43,41.0,2.16,1.0,10.0,10.0,1.0,1.0,31.0,1.0,9.0,55740.0,54648.02,51,Central,Professional,2115,"This customer represents an experienced, mid-life female professional residing in the Central region. With a bachelor's degree, she likely values education and intellectual growth, which may influence her preferences and decision-making. As a married individual without children, her lifestyle may center around career advancement, personal interests, and shared experiences with her spouse."
0.0,0.0,Female,high school,separate,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.33,170.0,6.8,1.0,19.0,38.0,1.0,5.0,132.0,1.0,14.0,71549.01,72049.24,46,Central,Corporate Employee,3592,"This customer represents a mid-career female corporate professional residing in the Central region. With a high school education as her academic foundation, she navigates her career with practical experience and skill. Currently separated, she is focused on her individual pursuits and maintains a household without children, allowing her to channel her energy into professional growth and personal interests. Her demographic profile suggests a blend of stability and independence, characteristic of someone balancing work responsibilities with a self-directed lifestyle in a central urban or suburban environment."
2.0,2.0,Female,less than high school,married,5.0,5.0,1.0,0.0,4.0,0.0,0.0,1.0,24333.33,32.0,1.6,1.0,4.0,17.0,1.0,2.0,15.0,1.0,2.0,242351.0,223967.93,48,Central,Freelancer,1512,"This individual embodies a mid-life female freelancer residing in the Central region, balancing professional flexibility with family commitments. With less than a high school education, she has likely cultivated practical skills to navigate her career path. Married and raising two children, her household dynamics reflect a focus on both personal and familial responsibilities."
0.0,0.0,Female,less than high school,single,7.0,6.0,1.0,1.0,5.0,1.0,0.0,1.0,5329.56,132.0,4.4,1.0,12.0,16.0,1.0,7.0,116.0,1.0,8.0,47171.6,48066.35,30,Central,Professional,652,"This customer represents an early-career professional female navigating life independently in the Central region. With less than a high school education, she has carved out a path in the professional workforce, showcasing determination and adaptability. As a single individual without children, her lifestyle likely emphasizes personal growth, career advancement, and flexibility."
0.0,Unknown,Female,Unknown,single,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,21,Southern,Entrepreneur,3666,"This individual is a young, single woman navigating the entrepreneurial world in the Southern region. With her education background unspecified, she appears to be focusing on building her career and exploring opportunities in her field. At 21 years old, she is in an early stage of adulthood, balancing the independence of single life with the drive to establish herself professionally. Without children, her current priorities may lean toward personal growth and business development, reflecting the ambitions of a self-starter in a dynamic phase of life."
0.0,0.0,Female,less than high school,single,3.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,1852.2,106.0,3.66,1.0,10.0,14.0,1.0,2.0,92.0,1.0,9.0,22982.0,29496.0,31,Northeastern,Corporate Employee,836,"This individual reflects an early-career professional female navigating the corporate world in the bustling Northeastern region. At 31 years old, she is single and without children, allowing her to focus on personal and professional growth. With an education level below high school, her journey highlights determination and adaptability in a competitive workplace environment."
0.0,Unknown,Female,others,married - registered,5.0,5.0,2.0,1.0,2.0,1.0,0.0,1.0,0.28,16.0,1.6,1.0,2.0,6.0,1.0,1.0,10.0,1.0,2.0,36393.91,36394.0,41,Eastern,Corporate Employee,3200,"This customer embodies a mid-career professional female navigating the corporate world from the Eastern region. At 41 years old, she is married under a registered status and has chosen not to have children, allowing her to focus on personal and professional growth. Her educational background falls outside traditional categories, suggesting a unique path that complements her role in the corporate sector. This combination of life stage, marital stability, and career focus positions her as someone likely to prioritize structured financial planning and opportunities for professional development."
