CUST_ID,Number of Children,Age,Gender,Education level,Marital status,Region,Occupation Group,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services
2282,1.0,40,Female,bachelor's degree,married,Central,Corporate Employee,1,0,1,1,0,0,0,0,1,0
737,0.0,42,Female,bachelor's degree,single,Central,Entrepreneur,0,0,1,0,0,0,1,0,0,0
3418,0.0,31,Male,bachelor's degree,single,Southern,Student,0,0,1,0,0,1,0,1,0,0
1781,1.0,52,Male,bachelor's degree,married,Central,Corporate Employee,1,0,0,0,0,1,0,1,0,0
3419,0.0,53,Male,bachelor's degree,married,Central,Corporate Employee,1,0,0,0,1,0,0,0,0,0
1906,0.0,31,Female,bachelor's degree,single,Central,Corporate Employee,0,0,1,1,0,0,1,0,0,0
1992,0.0,37,Male,bachelor's degree,single,Northern,Corporate Employee,1,0,1,1,0,1,0,0,0,0
1158,0.0,45,Male,bachelor's degree,single,Central,Freelancer,0,0,0,0,0,0,0,1,0,0
965,0.0,49,Male,high school,single,Eastern,Entrepreneur,0,0,0,0,0,1,0,0,0,0
691,0.0,60,Female,others,divorce,Northern,Unemployed,1,0,0,0,0,0,0,0,0,0
3705,0.0,52,Female,high school,married,Northern,Entrepreneur,0,1,0,0,0,0,0,0,0,0
4160,0.0,45,Male,bachelor's degree,single,Central,Corporate Employee,1,0,0,0,0,0,0,0,0,0
3976,0.0,45,Female,high school,single,Southern,Corporate Employee,1,0,1,1,0,0,0,0,0,0
1930,1.0,60,Male,vocational certificate,married,Southern,Entrepreneur,1,0,0,0,0,0,0,0,0,0
2488,0.0,27,Male,bachelor's degree,single,Central,Student,0,1,1,1,1,0,1,1,0,0
1043,0.0,38,Male,bachelor's degree,divorce,Central,Corporate Employee,1,1,1,0,1,0,0,0,0,0
2888,0.0,28,Female,Unknown,single,Central,Corporate Employee,1,0,1,1,0,0,0,0,1,0
2219,0.0,22,Female,others,single,Northern,Student,0,1,1,0,0,0,0,0,0,0
2979,1.0,48,Female,high school,married,Central,Entrepreneur,0,0,0,1,0,0,0,0,0,0
1955,0.0,26,Female,high school,single,Central,Student,0,0,1,0,0,0,0,0,0,0
3356,0.0,50,Male,bachelor's degree,married,Central,Entrepreneur,1,1,0,1,0,0,1,1,1,0
184,0.0,22,Male,high school,single,Southern,Entrepreneur,1,1,0,0,0,0,0,0,0,0
1831,0.0,43,Male,master's degree,married,Central,Corporate Employee,1,0,1,0,0,0,0,0,1,0
3906,0.0,67,Male,bachelor's degree,married,Central,Corporate Employee,0,1,0,0,0,0,0,0,0,0
487,0.0,38,Male,vocational certificate,single,Northern,Corporate Employee,1,0,0,1,0,0,0,0,0,0
2644,0.0,28,Female,bachelor's degree,single,Central,Corporate Employee,0,0,1,1,0,0,0,0,0,0
2881,0.0,30,Male,Unknown,married,Central,Freelancer,0,0,1,1,0,0,0,0,0,0
2079,0.0,45,Female,vocational certificate,married,Central,Entrepreneur,1,1,1,0,0,0,0,0,0,1
2418,0.0,33,Male,high school,single,Eastern,Corporate Employee,0,1,0,0,0,0,0,0,0,0
1616,0.0,41,Female,others,single,Central,Entrepreneur,0,1,0,0,0,0,0,0,0,0
4272,0.0,48,Male,others,single,Central,Corporate Employee,0,0,0,1,0,0,0,0,0,0
1566,0.0,33,Female,high school,married,Central,Entrepreneur,0,0,1,0,0,0,0,0,0,0
1703,0.0,29,Male,others,single,Central,Corporate Employee,0,1,0,0,0,0,0,0,0,0
2096,1.0,54,Female,vocational certificate,married,Western,Entrepreneur,0,1,0,0,1,0,0,0,0,0
2277,0.0,45,Female,doctorate's degree,single,Northeastern,Professional,0,1,0,0,0,0,0,0,0,0
3433,0.0,19,Female,Unknown,Unknown,Northeastern,Student,0,0,1,1,0,0,0,0,0,0
4256,0.0,50,Male,others,single,Northeastern,Entrepreneur,0,0,0,1,0,0,0,0,0,0
1583,0.0,41,Male,bachelor's degree,married,Central,Corporate Employee,1,0,1,1,0,0,1,0,0,0
3469,0.0,44,Female,vocational certificate,single,Eastern,Entrepreneur,0,0,1,0,0,1,0,0,0,0
1367,0.0,27,Female,high school,divorce,Southern,Freelancer,0,0,0,0,0,0,1,0,0,0
1968,0.0,26,Male,Unknown,single,Eastern,Student,0,0,1,1,0,0,0,0,0,0
1422,0.0,53,Male,less than high school,married,Central,Entrepreneur,0,0,0,1,0,0,0,0,0,0
970,0.0,25,Female,others,single,Northeastern,Corporate Employee,0,0,1,0,0,0,0,0,0,0
2440,0.0,31,Female,others,single,Central,Student,0,0,0,1,0,0,0,0,0,0
1085,0.0,39,Male,high school,single,Central,Corporate Employee,0,0,0,0,1,0,0,0,0,0
3653,0.0,20,Male,less than high school,single,Central,Student,0,1,0,0,0,0,0,0,0,0
3709,1.0,42,Male,vocational certificate,married,Northeastern,Corporate Employee,0,1,0,1,0,0,0,0,0,0
3931,0.0,44,Male,bachelor's degree,single,Central,Freelancer,0,0,1,0,0,0,0,0,0,0
359,0.0,25,Male,vocational certificate,single,Northeastern,Student,1,1,1,1,0,0,0,0,0,1
3277,0.0,26,Female,bachelor's degree,single,Central,Student,1,0,0,0,0,0,0,0,0,0
1611,0.0,36,Female,high school,single,Central,Entrepreneur,1,0,1,1,0,0,0,0,0,0
4002,0.0,26,Female,Unknown,single,Northern,Entrepreneur,0,0,1,0,1,0,1,0,1,0
1724,0.0,23,Female,Unknown,single,Eastern,Corporate Employee,1,0,1,0,0,0,0,0,0,0
3825,0.0,31,Male,vocational certificate,single,Central,Student,1,1,1,1,0,1,0,0,0,0
416,0.0,22,Male,Unknown,single,Central,Corporate Employee,0,0,1,0,0,0,0,0,0,0
354,0.0,46,Male,high school,married,Central,Freelancer,0,1,0,0,0,0,0,0,0,0
3067,0.0,26,Female,Unknown,single,Central,Student,0,1,0,0,1,0,0,0,0,1
2925,0.0,58,Male,high school,married,Central,Entrepreneur,0,0,0,0,1,0,0,0,0,0
2874,0.0,61,Male,bachelor's degree,single,Eastern,Corporate Employee,0,1,0,0,0,0,0,0,0,0
2252,0.0,61,Male,master's degree,married,Central,Homemaker,1,0,0,0,0,0,0,0,0,0
3478,0.0,49,Female,bachelor's degree,married,Eastern,Corporate Employee,1,1,1,0,0,0,0,0,0,0
4338,0.0,28,Male,bachelor's degree,married,Central,Corporate Employee,1,0,1,1,0,0,1,0,0,1
109,0.0,41,Male,others,single,Northeastern,Entrepreneur,1,1,0,0,0,0,0,0,0,0
913,2.0,51,Male,bachelor's degree,married,Central,Entrepreneur,0,0,0,0,1,0,0,0,0,0
3082,0.0,47,Female,others,single,Central,Corporate Employee,0,0,0,1,0,0,0,0,0,0
3946,0.0,28,Female,others,single,Central,Corporate Employee,0,0,1,0,0,0,0,0,0,0
59,0.0,24,Male,others,single,Central,Other,0,0,1,0,0,0,0,0,0,0
77,0.0,32,Female,bachelor's degree,single,Central,Student,0,0,1,1,0,0,0,0,0,0
369,0.0,45,Female,bachelor's degree,married,Southern,Entrepreneur,0,0,0,0,0,0,0,0,1,1
1729,1.0,48,Male,bachelor's degree,divorce,Southern,Corporate Employee,1,0,1,1,1,0,0,0,0,0
2849,0.0,37,Female,vocational certificate,married,Southern,Entrepreneur,0,1,1,0,1,0,0,0,0,0
2771,3.0,48,Male,high school,married,Central,Freelancer,0,1,1,0,0,0,0,0,0,0
911,0.0,45,Female,bachelor's degree,married,Central,Agriculture/Trade,1,0,0,0,0,0,0,0,0,0
1147,1.0,33,Female,less than high school,married,Western,Homemaker,0,0,0,1,0,0,0,0,0,0
2637,0.0,58,Female,high school,married,Central,Entrepreneur,1,1,0,0,0,0,0,0,0,0
2145,0.0,38,Male,bachelor's degree,married,Central,Corporate Employee,1,0,1,1,0,0,0,0,0,0
325,1.0,53,Female,others,married,Western,Entrepreneur,0,1,0,1,0,0,1,0,0,0
2330,0.0,40,Female,bachelor's degree,single,Central,Freelancer,1,0,0,0,0,0,0,0,0,0
2260,0.0,50,Female,others,married,Southern,Freelancer,1,1,0,0,0,0,0,0,0,0
1887,0.0,79,Female,high school,married,Central,Homemaker,0,1,0,1,0,0,0,0,0,0
7,2.0,55,Female,vocational certificate,widow,Central,Unemployed,0,1,0,0,0,0,0,0,0,0
3957,0.0,29,Female,bachelor's degree,single,Eastern,Corporate Employee,1,0,0,0,0,0,0,0,0,0
2261,0.0,55,Female,bachelor's degree,single,Central,Corporate Employee,0,0,1,0,0,0,1,0,0,0
195,0.0,33,Female,bachelor's degree,single,Central,Corporate Employee,0,1,1,1,1,1,0,0,1,0
