CUST_ID,Number of Children,Age,Gender,Education level,Marital status,Region,Occupation Group,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services,finance_t0,financial_services_t0,home_lifestyle_t0,loan_t0,shopping_t0,utility_t0,health_and_care_t0,transport_travel_t0,leisure_t0,public_services_t0
6,0.0,27,Female,high school,single,Eastern,Corporate Employee,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,2152.67,0.0,0.0,0.0,2152.67,0.0,0.0,0.0,0.0,0.0
7,2.0,57,Female,vocational certificate,widow,Central,Corporate Employee,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,315.0,0.0,0.0,0.0,0.0
23,0.0,26,Female,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,558.0,0.0,280000.0,203.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0
26,0.0,54,Female,bachelor's degree,married,Central,Corporate Employee,0.0,0.0,0.0,4000.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6430.0,6915.0,0.0,938.0,0.0,0.0,0.0
37,0.0,45,Female,vocational certificate,single,Northeastern,Corporate Employee,0.0,2079.86,0.0,0.0,2449.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.0,0.0,791.75,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,73,Female,master's degree,single,Western,Corporate Employee,0.0,376.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.43,0.0,0.0,0.0,0.0
61,0.0,27,Male,others,single,Central,Entrepreneur,0.0,800.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.86,0.0,0.0,0.0,0.0
72,0.0,25,Male,high school,single,Eastern,Student,0.0,0.0,480.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
73,1.0,54,Male,bachelor's degree,married,Central,Corporate Employee,9585.0,1123.5,89.0,0.0,0.0,1170.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,9585.0,300.0,379.85,0.0,0.0,0.0,0.0
83,0.0,31,Female,master's degree,married,Northeastern,Corporate Employee,0.0,0.0,5589.36,3721.43,0.0,0.0,0.0,0.0,0.0,0.0,960.9300000000001,0.0,0.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0
87,0.0,26,Female,others,single,Central,Corporate Employee,0.0,0.0,632.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,0.0,0.0,0.0,0.0
89,0.0,63,Female,others,single,Central,Entrepreneur,2000.0,515.0,5693.0,1793.0,0.0,0.0,0.0,0.0,0.0,0.0,4538.93,0.0,0.0,10908.0,4538.93,0.0,0.0,0.0,0.0,0.0
106,0.0,41,Female,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,7574.05,6214.09,0.0,0.0,0.0,0.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0
111,0.0,46,Female,bachelor's degree,single,Central,Corporate Employee,117224.37,2059.66,3808.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6272.0,4500.0,763.42,0.0
118,0.0,36,Male,bachelor's degree,married,Central,Freelancer,0.0,90.68,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2920.5,0.0
127,0.0,26,Female,others,single,Central,Professional,2000.0,0.0,4706.54,3126.54,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1.0,45,Male,bachelor's degree,widow,Central,Corporate Employee,27052.28,6146.0,200.0,0.0,12650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23418.0,0.0,4346.86,0.0,0.0,0.0,0.0
131,1.0,43,Male,bachelor's degree,married,Western,Entrepreneur,1977.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,41,Female,high school,single,Central,Corporate Employee,0.0,5558.57,0.0,0.0,0.0,900.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,20490.0,0.0,0.0,0.0,0.0,0.0
134,0.0,38,Female,bachelor's degree,single,Central,Unemployed,5000.0,1196.44,674.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,1539.07,18796.0,0.0,0.0,0.0
146,1.0,42,Female,high school,single,Central,Entrepreneur,0.0,3986.33,2060.5699999999997,600.0,0.0,0.0,776.0,0.0,0.0,0.0,9258.35,0.0,1127.0,12005.06,9258.35,0.0,1000.0,0.0,0.0,0.0
162,0.0,60,Male,bachelor's degree,married,Northeastern,Entrepreneur,30900.0,0.0,4911.25,527.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12627.0,5572.150000000001,0.0,0.0,0.0,0.0,0.0,0.0
164,0.0,48,Female,high school,single,Central,Corporate Employee,0.0,0.0,0.0,1800.0,0.0,0.0,459.86,0.0,0.0,0.0,0.0,0.0,670.21,0.0,0.0,0.0,549.0,0.0,0.0,0.0
165,0.0,47,Female,bachelor's degree,single,Eastern,Freelancer,0.0,15821.5,0.0,0.0,0.0,1120.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,746.86,0.0,0.0,0.0,0.0
174,0.0,46,Male,high school,married,Southern,Corporate Employee,11702.49,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,48,Female,others,single,Northeastern,Corporate Employee,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11915.0,1000.0,0.0,0.0,0.0,0.0
194,0.0,41,Female,bachelor's degree,single,Northern,Homemaker,1000.0,4785.04,6336.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,5900.0,0.0,0.0,3404.0,0.0,4716.56,0.0,0.0,0.0,0.0
195,0.0,35,Female,bachelor's degree,single,Central,Corporate Employee,0.0,1603.94,4635.4,4635.4,1643.0,1600.0,0.0,0.0,940.0,0.0,835.0,1643.0,0.0,9305.0,1554.25,1603.94,0.0,0.0,0.0,0.0
207,1.0,48,Male,high school,married,Central,Entrepreneur,2790.0,2618.72,0.0,0.0,5735.08,0.0,0.0,0.0,0.0,0.0,0.0,740.0,0.0,0.0,10000.0,2176.89,0.0,0.0,0.0,0.0
211,0.0,28,Male,high school,single,Central,Corporate Employee,0.0,0.0,251.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,341.09,0.0,0.0,0.0,0.0
214,1.0,53,Female,less than high school,married,Central,Freelancer,0.0,1652.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1676.7199999999998,0.0,0.0,0.0,0.0
217,0.0,26,Female,high school,single,Northeastern,Corporate Employee,0.0,3200.44,4392.88,4392.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.3999999999999,0.0,0.0,0.0,0.0
220,0.0,28,Female,bachelor's degree,single,Central,Entrepreneur,0.0,0.0,277.54,277.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0
223,0.0,51,Male,high school,single,Central,Corporate Employee,1356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8700.0,2648.0,0.0,0.0,0.0,0.0
225,1.0,53,Female,less than high school,single,Central,Entrepreneur,0.0,1196.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,1629.08,0.0,0.0,0.0,0.0
229,0.0,58,Male,bachelor's degree,single,Northern,Corporate Employee,1078.0,0.0,1280.0,1801.0,740.0,0.0,0.0,90.0,0.0,0.0,180.0,0.0,0.0,0.0,3300.0,1793.43,0.0,0.0,0.0,0.0
245,0.0,52,Male,less than high school,single,Central,Corporate Employee,30600.0,600.4300000000001,4635.35,6400.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,6200.0,4000.0,628.96,0.0,0.0,0.0,0.0
249,0.0,40,Female,bachelor's degree,married,Central,Homemaker,1400.0,2189.87,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.8,0.0,0.0,0.0,0.0
269,0.0,49,Female,others,married,Central,Corporate Employee,0.0,0.0,366.5,66.5,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,9166.0,2300.0,1099.29,0.0,0.0,1200.0,0.0
274,0.0,44,Male,bachelor's degree,married,Central,Corporate Employee,18890.0,211.27,3000.0,3000.0,0.0,0.0,737.0,0.0,0.0,0.0,0.0,0.0,837.0,13233.0,0.0,2980.2999999999997,0.0,0.0,0.0,0.0
277,0.0,40,Male,less than high school,married,Central,Corporate Employee,0.0,400.0,0.0,1300.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,0.0
278,0.0,51,Female,less than high school,single,Eastern,Corporate Employee,1681.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.8,0.0,0.0,0.0,0.0
279,1.0,59,Male,master's degree,married,Central,Corporate Employee,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0
283,0.0,56,Female,bachelor's degree,single,Central,Entrepreneur,0.0,1600.0,3124.1,0.0,0.0,0.0,0.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.93,0.0,0.0,0.0,0.0
286,0.0,33,Female,less than high school,single,Central,Corporate Employee,0.0,0.0,375.0,0.0,1480.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0
301,0.0,26,Female,others,single,Central,Student,0.0,0.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,453.5,0.0,0.0,0.0,0.0,0.0
307,0.0,53,Female,bachelor's degree,single,Central,Entrepreneur,46920.0,67702.23,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47820.0,0.0,34399.43,0.0,0.0,0.0,0.0
308,0.0,27,Female,others,single,Central,Student,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,954.5,0.0,0.0,0.0,371.0,0.0
312,0.0,30,Female,high school,single,Central,Student,0.0,1650.79,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11296.93,0.0,0.0,0.0,9474.0,700.0,1249.35,0.0,0.0,0.0
317,0.0,61,Female,less than high school,married,Northeastern,Entrepreneur,0.0,75.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.33,0.0,0.0,0.0,0.0
