Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID
0.0,0.0,Female,high school,single,4.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,43.99,125.0,6.25,1.0,12.0,48.0,1.0,5.0,77.0,1.0,8.0,466232.0,466293.4,34,Central,Entrepreneur,5
0.0,0.0,Female,high school,single,7.0,5.0,9.0,0.0,2.0,1.0,0.0,3.0,10.34,7.0,1.4,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,53000.0,53000.15,25,Eastern,Corporate Employee,6
2.0,0.0,Female,vocational certificate/ diploma,widow,4.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,1970.03,46.0,2.42,1.0,6.0,16.0,1.0,3.0,30.0,1.0,4.0,21120.27,22405.0,55,Central,Corporate Employee,7
0.0,0.0,Female,bachelor's degree,single,6.0,5.0,8.0,0.0,3.0,2.0,0.0,3.0,75064.06,45.0,2.65,1.0,7.0,14.0,1.0,2.0,31.0,1.0,6.0,221722.97,148549.86,24,Central,Corporate Employee,23
0.0,1.0,Female,bachelor's degree,married,4.0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,24341.71,73.0,3.17,1.0,9.0,20.0,1.0,2.0,53.0,1.0,7.0,123356.0,101297.0,52,Central,Corporate Employee,26
0.0,0.0,Female,vocational certificate/ diploma,single,3.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,1.64,92.0,4.6,1.0,11.0,18.0,1.0,3.0,74.0,1.0,8.0,20645.0,20664.16,43,Northeastern,Corporate Employee,37
1.0,0.0,Male,bachelor's degree,married,4.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,58229.48,6.0,1.5,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,6716.25,8765.0,48,Central,Other,49
0.0,0.0,Female,high school,single,4.0,4.0,4.0,0.0,2.0,1.0,0.0,1.0,14627.09,11.0,1.22,1.0,2.0,3.0,1.0,2.0,8.0,1.0,1.0,11528.27,17663.0,32,Central,Entrepreneur,51
1.0,1.0,Male,bachelor's degree,single,3.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,2414.41,11.0,1.38,1.0,2.0,5.0,1.0,2.0,6.0,1.0,1.0,6400.0,4300.45,52,Central,Corporate Employee,54
0.0,1.0,Female,master's degree,single,6.0,5.0,3.0,1.0,4.0,1.0,0.0,2.0,50805.87,15.0,1.5,1.0,3.0,1.0,1.0,1.0,14.0,1.0,3.0,40734.8,39356.49,71,Western,Corporate Employee,58
0.0,Unknown,Male,others,single,4.0,4.0,3.0,0.0,4.0,1.0,0.0,2.0,2812.0,14.0,1.75,1.0,3.0,3.0,1.0,1.0,11.0,1.0,2.0,5800.0,4988.23,24,Central,Corporate Employee,59
0.0,0.0,Female,less than high school,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,3.06,6.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,202.0,256.0,48,Central,Corporate Employee,60
0.0,Unknown,Male,others,single,5.0,5.0,1.0,1.0,3.0,1.0,0.0,1.0,309.63,148.0,4.93,1.0,12.0,59.0,1.0,5.0,89.0,1.0,7.0,288976.37,289319.36,25,Central,Entrepreneur,61
