CUST_ID,Number of Children,Age,Gender,Education level,Marital status,Region,Occupation Group,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services
5,0,36.0,Female,high school,married,Central,Corporate Employee,1,1,0,0,0,0,0,0,0,1
6,0,27.0,Female,bachelor's degree,single,Central,Corporate Employee,0,0,0,0,1,0,0,0,0,0
7,2,57.0,Female,vocational certificate,widow,Central,Unemployed,0,1,0,0,0,0,0,0,0,0
23,0,26.0,Female,bachelor's degree,single,Central,Corporate Employee,0,0,1,0,1,1,0,0,0,0
26,0,54.0,Female,bachelor's degree,married,Central,Corporate Employee,0,0,0,1,0,1,0,0,0,0
37,0,45.0,Female,vocational certificate,single,Northeastern,Corporate Employee,0,1,0,0,1,0,0,0,0,0
49,0,50.0,Male,bachelor's degree,married,Central,Other,1,0,0,0,0,0,0,0,0,0
51,0,34.0,Female,high school,single,Central,Corporate Employee,0,0,1,0,0,0,0,0,0,0
54,0,54.0,Male,bachelor's degree,single,Central,Corporate Employee,0,0,0,0,0,0,0,1,0,0
58,0,73.0,Female,master's degree,single,Western,Professional,0,1,0,0,0,0,0,0,0,0
59,0,26.0,Male,others,single,Central,Corporate Employee,0,0,1,0,0,0,0,0,0,0
60,0,50.0,Female,less than high school,single,Central,Other,0,0,1,1,0,0,0,0,0,0
61,0,27.0,Male,others,single,Central,Corporate Employee,0,1,0,0,0,0,0,0,0,0
72,0,25.0,Male,high school,single,Eastern,Corporate Employee,0,0,1,0,0,0,0,0,0,0
73,0,54.0,Male,bachelor's degree,married,Central,Corporate Employee,1,1,1,0,0,1,0,0,0,0
77,0,34.0,Female,bachelor's degree,single,Central,Corporate Employee,0,0,1,1,0,0,0,0,0,0
82,0,54.0,Female,bachelor's degree,single,Southern,Corporate Employee,1,0,1,0,0,0,0,0,0,0
83,0,31.0,Female,high school,single,Northeastern,Corporate Employee,0,0,1,1,0,0,0,0,0,0
86,0,32.0,Male,bachelor's degree,single,Southern,Corporate Employee,0,0,1,0,0,0,0,0,0,0
87,0,26.0,Female,others,single,Northeastern,Corporate Employee,0,0,1,1,0,0,0,0,0,0
89,0,63.0,Female,others,single,Central,Corporate Employee,1,1,1,1,0,0,0,0,0,0
105,0,39.0,Female,master's degree,single,Central,Corporate Employee,1,0,0,0,0,0,0,0,0,0
106,0,41.0,Female,bachelor's degree,single,Central,Corporate Employee,0,0,1,1,0,0,0,0,1,0
109,0,43.0,Male,others,single,Northeastern,Entrepreneur,1,1,0,0,0,0,0,0,0,0
111,0,46.0,Female,bachelor's degree,single,Central,Corporate Employee,1,1,1,0,0,0,0,0,0,0
116,1,58.0,Male,bachelor's degree,married,Southern,Entrepreneur,0,0,0,0,1,0,0,0,0,1
118,0,36.0,Male,bachelor's degree,single,Central,Corporate Employee,0,1,0,0,0,0,0,0,1,0
127,0,26.0,Female,others,single,Eastern,Corporate Employee,1,0,1,1,0,0,0,0,0,0
130,0,45.0,Male,bachelor's degree,widow,Central,Corporate Employee,1,1,1,0,1,0,0,0,0,0
131,0,43.0,Male,bachelor's degree,married,Western,Entrepreneur,1,0,0,0,0,0,0,0,0,0
132,0,41.0,Female,high school,single,Central,Corporate Employee,0,1,0,0,0,1,0,0,0,1
134,0,38.0,Female,bachelor's degree,single,Central,Corporate Employee,1,1,1,0,0,0,1,0,0,0
141,0,49.0,Male,bachelor's degree,single,Central,Professional,1,0,0,0,0,0,0,0,0,0
143,0,41.0,Male,bachelor's degree,married,Northern,Corporate Employee,1,0,0,0,0,0,0,0,0,0
146,1,42.0,Female,high school,divorce,Central,Entrepreneur,0,1,1,1,0,0,1,0,0,0
156,0,30.0,Female,high school,single,Southern,Corporate Employee,0,0,1,0,0,0,0,0,0,0
160,0,39.0,Female,bachelor's degree,single,Central,Corporate Employee,1,0,0,0,1,0,0,0,0,0
162,0,60.0,Male,bachelor's degree,married,Central,Corporate Employee,1,0,1,1,0,0,0,0,0,0
