CUST_ID,Number of Children,Age,Gender,Education level,Marital status,Region,Occupation Group,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services
5,0,36.0,Female,high school,married,Central,Corporate Employee,10000.0,16058.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
6,0,27.0,Female,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
7,2,57.0,Female,vocational certificate,widow,Central,Unemployed,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,26.0,Female,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,558.0,0.0,280000.0,203.0,0.0,0.0,0.0,0.0
26,0,54.0,Female,bachelor's degree,married,Central,Corporate Employee,0.0,0.0,0.0,4000.0,0.0,120.0,0.0,0.0,0.0,0.0
37,0,45.0,Female,vocational certificate,single,Northeastern,Corporate Employee,0.0,2079.86,0.0,0.0,2449.0,0.0,0.0,0.0,0.0,0.0
49,0,50.0,Male,bachelor's degree,married,Central,Other,1645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,34.0,Female,high school,single,Central,Corporate Employee,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,54.0,Male,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0
58,0,73.0,Female,master's degree,single,Western,Professional,0.0,376.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0,26.0,Male,others,single,Central,Corporate Employee,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0,50.0,Female,less than high school,single,Central,Other,0.0,0.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0,27.0,Male,others,single,Central,Corporate Employee,0.0,800.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,25.0,Male,high school,single,Eastern,Corporate Employee,0.0,0.0,480.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0,54.0,Male,bachelor's degree,married,Central,Corporate Employee,9585.0,1123.5,89.0,0.0,0.0,1170.0,0.0,0.0,0.0,0.0
77,0,34.0,Female,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,6014.25,2690.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0,54.0,Female,bachelor's degree,single,Southern,Corporate Employee,779.0,0.0,3169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0,31.0,Female,high school,single,Northeastern,Corporate Employee,0.0,0.0,5589.36,3721.43,0.0,0.0,0.0,0.0,0.0,0.0
86,0,32.0,Male,bachelor's degree,single,Southern,Corporate Employee,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0,26.0,Female,others,single,Northeastern,Corporate Employee,0.0,0.0,632.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0,63.0,Female,others,single,Central,Corporate Employee,2000.0,515.0,5693.0,1793.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0,39.0,Female,master's degree,single,Central,Corporate Employee,1203.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0,41.0,Female,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,7574.05,6214.09,0.0,0.0,0.0,0.0,756.0,0.0
109,0,43.0,Male,others,single,Northeastern,Entrepreneur,3112.0,853.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0,46.0,Female,bachelor's degree,single,Central,Corporate Employee,117224.37,2059.66,3808.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1,58.0,Male,bachelor's degree,married,Southern,Entrepreneur,0.0,0.0,0.0,0.0,759606.0,0.0,0.0,0.0,0.0,88.0
