cust_id,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services,system_dpst
5,10000.0,16058.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0
6,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,5716.3099999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,769.33,800.0,17800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,558.0,0.0,280000.0,203.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,9010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,4000.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
30,0.0,632.0,113.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0
33,1500.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,2079.86,0.0,0.0,2449.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0
57,0.0,75.76,4102.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,376.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,800.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,480.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,9585.0,1123.5,89.0,0.0,0.0,1170.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,4171.4800000000005,3476.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,6014.25,2690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,779.0,0.0,3169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,5589.36,3721.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,4345.92,2271.0,0.0,0.0,194.0,0.0,649.0,0.0,0.0
86,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,632.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2000.0,515.0,5693.0,1793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,853.86,0.0,0.0,0.0,198649.5,0.0,0.0,0.0,0.0,0.0
94,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,1587.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,4153.889999999999,2857.89,23540.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,463.25,0.0,0.0,189.0,0.0,0.0
105,1203.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,7574.05,6214.09,0.0,0.0,0.0,0.0,756.0,0.0,0.0
109,3112.0,853.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0
111,117224.37,2059.66,3808.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,759606.0,0.0,0.0,0.0,0.0,88.0,0.0
118,0.0,90.68,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0
123,0.0,0.0,0.0,9025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2000.0,0.0,4706.54,3126.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,27052.28,6146.0,200.0,0.0,12650.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1977.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,5558.57,0.0,0.0,0.0,900.0,0.0,0.0,0.0,19.0,0.0
134,5000.0,1196.44,674.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0
135,55700.0,3205.72,17454.0,13996.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0
141,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,150129.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,695.93,1035.0,15092.73,300.0,0.0,0.0,0.0,0.0,0.0
146,0.0,3986.33,2060.5699999999997,600.0,0.0,0.0,776.0,0.0,0.0,0.0,0.0
150,0.0,0.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,154.08,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0
152,0.0,2525.72,0.0,109000.0,2577.0,0.0,0.0,0.0,0.0,0.0,0.0
154,75630.0,0.0,500.0,0.0,0.0,0.0,2310.0,0.0,237.0,0.0,0.0
156,0.0,0.0,795.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0.0,4076.0,1076.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,20234.93,0.0,0.0,0.0,2492.7,0.0,0.0,0.0,0.0,0.0,0.0
162,30900.0,0.0,4911.25,527.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,1800.0,0.0,0.0,459.86,0.0,0.0,0.0,0.0
165,0.0,15821.5,0.0,0.0,0.0,1120.0,304.0,0.0,0.0,0.0,0.0
168,1500.0,0.0,0.0,0.0,0.0,867.0,0.0,0.0,0.0,0.0,0.0
170,2753.4,454.75,0.0,0.0,0.0,1607.0,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,11702.49,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0
180,0.0,0.0,928.95,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,1230.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,4942.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,4492.86,0.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0.0,266.43,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,0.0
190,0.0,0.0,0.0,15200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,3035.03,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1000.0,4785.04,6336.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
195,0.0,1603.94,4635.4,4635.4,1643.0,1600.0,0.0,0.0,940.0,0.0,0.0
197,6191.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,85779.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14610.0,0.0
203,0.0,0.0,2613.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,90.0,0.0,0.0
205,2224.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0
206,18723.25,0.0,375.0,0.0,0.0,0.0,0.0,810.0,300.0,0.0,0.0
207,2790.0,2618.72,0.0,0.0,5735.08,0.0,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,251.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,800.0,0.0,747.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.0,1652.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,572.79,0.0,515.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0
216,0.0,0.0,642.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,3200.44,4392.88,4392.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.0,0.0
220,0.0,0.0,277.54,277.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,0.0,0.0,5399.07,0.0,0.0,0.0,0.0,1703.44,0.0,19.0,0.0
223,1356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,0.0,1196.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
