txn_catg,txn_subcatg,dpst_txn_amt_tot,dpst_txn_cnt,cust_id
charity,religious,128.0,2.0,5
loan,auto_loan,10000.0,1.0,5
utility,electricity,16058.29,2.0,5
investment,dummy_ix,2000.0,2.0,6
investment,dummy_ix,1000.0,1.0,6
investment,securities_backed_by_bank,2000.0,2.0,6
investment,securities_backed_by_bank,1000.0,1.0,6
utility,phone,500.0,1.0,7
loan,credit_card,2698.0,2.0,13
loan,credit_card,2117.31,1.0,13
loan,unsecured_loan,1.0,1.0,13
loan,unsecured_loan,900.0,1.0,13
finance,digital_wallet,800.0,2.0,15
shopping,convenience_store,17000.0,2.0,15
shopping,e_commerce,800.0,2.0,15
utility,phone,769.33,1.0,15
finance,payment_gateway,558.0,1.0,23
investment,dummy_ix,140000.0,2.0,23
investment,securities_backed_by_bank,140000.0,2.0,23
personal_care,fitness,203.0,3.0,23
finance,digital_wallet,9010.0,3.0,24
medical,pharmacy,120.0,1.0,26
shopping,grocery,4000.0,1.0,26
finance,payment_gateway,113.0,1.0,30
home_and_living,home_improvement,163.0,1.0,30
utility,internet,632.0,1.0,30
finance,digital_wallet,37.0,1.0,33
loan,unsecured_loan,1500.0,1.0,33
shopping,convenience_store,500.0,1.0,34
insurance,other_insurance,2449.0,1.0,37
utility,internet,1039.93,1.0,37
utility,phone,1039.93,1.0,37
loan,credit_card,1645.0,1.0,49
finance,digital_wallet,500.0,1.0,51
automotive,car_dealer,1900.0,1.0,54
finance,digital_wallet,702.0,2.0,57
finance,digital_wallet,3400.0,7.0,57
shopping,e_commerce,702.0,2.0,57
utility,water,75.76,1.0,57
utility,phone,376.64,1.0,58
finance,payment_gateway,199.0,1.0,59
finance,digital_wallet,76.0,1.0,60
shopping,e_commerce,76.0,1.0,60
utility,internet,800.36,1.0,61
finance,digital_wallet,100.0,1.0,71
finance,payment_gateway,480.43,1.0,72
finance,payment_gateway,89.0,1.0,73
loan,auto_loan,9585.0,1.0,73
medical,hospital,1170.0,1.0,73
utility,electricity,749.0,1.0,73
utility,phone,374.5,1.0,73
finance,digital_wallet,2396.01,4.0,74
finance,digital_wallet,1080.0,1.0,74
finance,digital_wallet,300.0,1.0,74
finance,payment_gateway,395.47,3.0,74
shopping,e_commerce,2396.01,4.0,74
shopping,e_commerce,1080.0,1.0,74
finance,digital_wallet,830.0,1.0,77
finance,digital_wallet,1860.0,5.0,77
finance,digital_wallet,2494.25,10.0,77
finance,payment_gateway,830.0,1.0,77
shopping,e_commerce,830.0,1.0,77
shopping,e_commerce,1860.0,5.0,77
finance,payment_gateway,3169.0,1.0,82
loan,unsecured_loan,779.0,1.0,82
finance,digital_wallet,3721.43,6.0,83
finance,payment_gateway,1120.0,1.0,83
finance,payment_gateway,747.93,1.0,83
shopping,e_commerce,3721.43,6.0,83
finance,digital_wallet,545.0,2.0,85
finance,payment_gateway,3800.92,4.0,85
home_and_living,home_improvement,194.0,1.0,85
restaurant,chain_restaurant,649.0,1.0,85
shopping,department_store,1726.0,14.0,85
shopping,e_commerce,545.0,2.0,85
finance,digital_wallet,400.0,2.0,86
finance,digital_wallet,632.0,2.0,87
shopping,e_commerce,632.0,2.0,87
finance,digital_wallet,1793.0,5.0,89
finance,digital_wallet,3900.0,12.0,89
loan,credit_card,2000.0,1.0,89
shopping,e_commerce,1793.0,5.0,89
utility,internet,375.0,1.0,89
utility,internet,140.0,1.0,89
medical,hospital,99324.75,2.0,91
medical,public_hospital,99324.75,2.0,91
utility,internet,426.93,1.0,91
utility,phone,426.93,1.0,91
utility,internet,750.0,1.0,94
utility,phone,750.0,1.0,94
finance,digital_wallet,885.0,3.0,95
finance,digital_wallet,508.0,1.0,95
finance,payment_gateway,194.6,1.0,95
business,ads,22800.0,14.0,97
finance,digital_wallet,2857.89,2.0,97
finance,payment_gateway,1296.0,1.0,97
insurance,insurance,370.0,1.0,97
insurance,other_insurance,370.0,1.0,97
shopping,e_commerce,2857.89,2.0,97
personal_care,beauty_salon,463.25,2.0,100
restaurant,chain_restaurant,189.0,1.0,100
loan,credit_card,1203.25,1.0,105
entertainment,streaming_service,617.0,1.0,106
entertainment,streaming_service,139.0,1.0,106
finance,digital_wallet,6214.09,5.0,106
finance,digital_wallet,1359.96,1.0,106
shopping,e_commerce,6214.09,5.0,106
loan,auto_loan,3112.0,1.0,109
utility,internet,426.93,1.0,109
utility,phone,426.93,1.0,109
home_and_living,home_improvement,45.0,1.0,110
finance,digital_wallet,2000.0,3.0,111
finance,payment_gateway,1808.87,1.0,111
loan,credit_card,90705.56,1.0,111
loan,credit_card,7118.81,2.0,111
loan,credit_card,19400.0,4.0,111
utility,electricity,2059.66,1.0,111
charity,charitable_donation,88.0,1.0,116
investment,gold,759606.0,4.0,116
restaurant,chain_restaurant,76.0,1.0,118
utility,electricity,90.68,1.0,118
shopping,grocery,2000.0,4.0,123
shopping,grocery,7025.0,3.0,123
finance,digital_wallet,3126.54,1.0,127
finance,digital_wallet,1580.0,13.0,127
loan,unsecured_loan,1000.0,1.0,127
loan,unsecured_loan,1000.0,1.0,127
shopping,e_commerce,3126.54,1.0,127
bank,transfer_to_bank,12650.0,1.0,130
finance,digital_wallet,200.0,2.0,130
loan,credit_card,8550.0,2.0,130
loan,credit_card,18502.28,4.0,130
utility,internet,3073.0,3.0,130
utility,phone,3073.0,3.0,130
loan,credit_card,1977.03,1.0,131
charity,religious,19.0,1.0,132
medical,dental_clinic,900.0,1.0,132
utility,electricity,3176.92,3.0,132
utility,internet,977.36,2.0,132
