txn_catg,txn_subcatg,dpst_txn_amt_tot,dpst_txn_cnt,cust_id
finance,digital_wallet,2152.67,5.0,6
shopping,e_commerce,2152.67,5.0,6
shopping,convenience_store,1000.0,1.0,7
utility,phone,315.0,1.0,7
utility,gas_station,100.0,1.0,13
shopping,convenience_store,5000.0,1.0,15
utility,phone,1068.93,1.0,15
finance,digital_wallet,1000.0,1.0,21
finance,digital_wallet,1100.0,4.0,23
transportation,public_transit,89.0,3.0,23
loan,auto_loan,6430.0,1.0,26
medical,pharmacy,938.0,3.0,26
shopping,convenience_store,6915.0,2.0,26
finance,digital_wallet,70.0,1.0,33
finance,digital_wallet,6219.62,7.0,33
finance,digital_wallet,436.0,3.0,33
finance,payment_gateway,89.65,1.0,33
restaurant,food_delivery,463.0,3.0,33
shopping,e_commerce,70.0,1.0,33
shopping,e_commerce,6219.62,7.0,33
insurance,other_insurance,1323.0,1.0,37
loan,unsecured_loan,791.75,1.0,37
medical,hospital,5000.0,1.0,38
medical,private_hospital,5000.0,1.0,38
shopping,convenience_store,500.0,1.0,38
entertainment,movie_theater,560.0,1.0,41
finance,digital_wallet,460.0,2.0,41
shopping,e_commerce,460.0,2.0,41
finance,digital_wallet,6239.0,4.0,45
investment,securities_broker,3568.74,1.0,45
investment,security,3568.74,1.0,45
investment,tfex,3568.74,1.0,45
shopping,e_commerce,6239.0,4.0,45
utility,gas_station,800.0,2.0,46
utility,phone,533.93,1.0,50
shopping,grocery,919.5,3.0,52
utility,gas_station,245.3,2.0,52
utility,gas_station,579.3,4.0,52
utility,internet,426.61,1.0,52
utility,phone,533.93,1.0,53
finance,digital_wallet,1885.0,2.0,57
shopping,e_commerce,1885.0,2.0,57
utility,phone,480.43,1.0,58
utility,internet,639.86,1.0,61
loan,auto_loan,3426.0,1.0,68
utility,gas_station,200.0,1.0,68
finance,digital_wallet,500.0,3.0,72
shopping,e_commerce,500.0,3.0,72
finance,digital_wallet,300.0,1.0,73
loan,auto_loan,9585.0,1.0,73
shopping,e_commerce,300.0,1.0,73
utility,phone,379.85,1.0,73
finance,digital_wallet,1456.93,5.0,74
finance,digital_wallet,105.0,1.0,74
shopping,e_commerce,1456.93,5.0,74
shopping,e_commerce,105.0,1.0,74
utility,water,1263.38,1.0,76
shopping,e_commerce,114.0,1.0,78
finance,digital_wallet,641.0,2.0,83
finance,payment_gateway,319.93,1.0,83
shopping,e_commerce,641.0,2.0,83
utility,gas_station,100.0,1.0,84
restaurant,food_delivery,342.55,1.0,85
utility,gas_station,576.0,1.0,87
finance,digital_wallet,4538.93,2.0,89
loan,auto_loan,10908.0,1.0,89
shopping,e_commerce,4538.93,2.0,89
transportation,tollway_fee,280.0,1.0,99
entertainment,streaming_service,419.0,1.0,106
medical,pharmacy,6272.0,2.0,111
restaurant,food_delivery,763.42,2.0,111
transportation,public_transit,4500.0,1.0,111
restaurant,food_delivery,2920.5,11.0,118
finance,digital_wallet,304.0,2.0,127
loan,credit_card,2528.0,1.0,130
loan,credit_card,5120.0,1.0,130
loan,credit_card,4050.0,1.0,130
loan,unsecured_loan,9000.0,1.0,130
loan,unsecured_loan,2720.0,1.0,130
utility,internet,2173.43,2.0,130
utility,phone,2173.43,2.0,130
education,private_school,31310.0,13.0,131
shopping,convenience_store,13000.0,1.0,132
shopping,grocery,7490.0,1.0,132
loan,credit_card,5500.0,1.0,134
medical,hospital,18796.0,1.0,134
utility,internet,1539.07,1.0,134
finance,digital_wallet,1100.0,3.0,135
insurance,other_insurance,339.0,1.0,135
restaurant,food_delivery,6150.0,36.0,135
transportation,public_transit,394.0,11.0,135
utility,internet,1756.93,1.0,135
utility,phone,1756.93,1.0,135
finance,digital_wallet,1640.29,1.0,136
shopping,e_commerce,1640.29,1.0,136
utility,gas_station,200.0,1.0,136
insurance,insurance,4424.67,1.0,145
insurance,life_insurance,4424.67,1.0,145
insurance,life_insurance,4424.67,1.0,145
finance,digital_wallet,9258.35,3.0,146
home_and_living,home_expense,1127.0,2.0,146
loan,credit_card,9200.0,2.0,146
loan,unsecured_loan,2100.0,1.0,146
loan,unsecured_loan,705.06,1.0,146
medical,hospital,500.0,2.0,146
medical,public_hospital,500.0,2.0,146
shopping,e_commerce,9258.35,3.0,146
shopping,department_store,17600.0,4.0,152
utility,internet,1636.03,4.0,152
utility,internet,703.34,1.0,152
utility,phone,1636.03,4.0,152
finance,digital_wallet,1400.0,4.0,154
loan,auto_loan,15987.0,1.0,154
loan,credit_card,2500.0,1.0,154
loan,unsecured_loan,17900.0,1.0,154
shopping,department_store,2000.0,1.0,154
shopping,department_store,595.0,5.0,154
travel,hotel,395.0,2.0,154
utility,gas_station,595.0,5.0,154
home_and_living,home_expense,12627.0,1.0,162
loan,credit_card,133.43,1.0,162
loan,credit_card,5438.72,1.0,162
home_and_living,home_expense,670.21,1.0,164
medical,pharmacy,549.0,1.0,164
shopping,convenience_store,1600.0,3.0,165
utility,internet,373.43,1.0,165
utility,phone,373.43,1.0,165
loan,unsecured_loan,4000.0,1.0,174
shopping,grocery,12000.0,2.0,181
shopping,convenience_store,11915.0,3.0,187
utility,gas_station,1000.0,1.0,187
medical,hospital,2000.0,2.0,189
medical,hospital,500.0,1.0,189
medical,public_hospital,2000.0,2.0,189
medical,public_hospital,500.0,1.0,189
shopping,convenience_store,11000.0,1.0,189
utility,gas_station,300.0,1.0,189
finance,digital_wallet,237.0,2.0,192
shopping,e_commerce,237.0,2.0,192
