CUST_ID,Number of Children,Age,Gender,Education level,Marital status,Region,Occupation Group,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services,finance_t0,financial_services_t0,home_lifestyle_t0,loan_t0,shopping_t0,utility_t0,health_and_care_t0,transport_travel_t0,leisure_t0,public_services_t0,Summary
6,0.0,25,Female,high school,single,Central,Student,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,2152.67,0.0,0.0,0.0,2152.67,0.0,0.0,0.0,0.0,0.0,"This customer represents a 25-year-old single female student based in the Central region, with a high school education and no children. Her transactional history reflects a focus on shopping, with a total expenditure of 2,152.67 baht in this category, while no activity is recorded in other areas such as financial services, home lifestyle, loans, utilities, health and care, transport travel, leisure, or public services. As a young, single individual likely balancing academic pursuits, she appears to prioritize personal purchases and retail needs over other financial commitments. This profile suggests a digitally savvy, budget-conscious consumer with a lifestyle centered around education and discretionary spending, making her a potential match for brands targeting young, independent shoppers."
7,2.0,55,Female,vocational certificate,widow,Central,Unemployed,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,315.0,0.0,0.0,0.0,0.0,"This customer represents a 55-year-old widowed female residing in the Central region, with a vocational certificate education and currently unemployed. As a mother of two, she appears to prioritize essential expenses, as reflected in her historical transactions. Her spending is modest and focused on Shopping (1,000 baht) and Utilities (315 baht), with no recorded activity in categories such as Finance, Loans, Health and Care, or Leisure. This profile suggests a pragmatic individual who likely manages a tight budget, focusing on basic household needs and possibly supporting her children. She may value affordability and practicality, making her a potential match for cost-conscious products or services tailored to family-oriented or essential living needs."
23,0.0,24,Female,bachelor's degree,single,Central,Unemployed,0.0,0.0,558.0,0.0,280000.0,203.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,"This customer represents a 24-year-old single female residing in the Central region, holding a bachelor's degree but currently unemployed and without children. Her financial activity indicates a focus on managing personal finances, with a notable transaction of 1,100 baht in the ""Finance"" category, suggesting an interest in savings or financial planning. Additionally, a modest expenditure of 89 baht in ""Transport Travel"" reflects limited mobility or localized travel needs, potentially tied to her current employment status. With no recorded spending in categories like ""Shopping,"" ""Home Lifestyle,"" or ""Leisure,"" she appears to prioritize essential financial management over discretionary spending. This profile suggests a young, budget-conscious individual in a transitional phase, likely seeking stability and opportunities for personal or professional growth."
26,0.0,52,Female,bachelor's degree,married,Central,Corporate Employee,0.0,0.0,0.0,4000.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6430.0,6915.0,0.0,938.0,0.0,0.0,0.0,"This customer represents a 52-year-old married female corporate employee based in the Central region, holding a bachelor's degree and living without children. She appears to be a pragmatic and financially focused individual, as her historical transactions highlight spending concentrated on loans (6,430 baht) and shopping (6,915 baht), with moderate attention to health and care (938 baht). The absence of spending in categories like finance, home lifestyle, transport travel, and leisure suggests a practical lifestyle, potentially prioritizing essential needs and financial obligations over discretionary or recreational expenses. This profile reflects a career-oriented, responsible individual who values stability and practicality, making her a likely match for others with similar structured and goal-oriented financial behaviors."
37,0.0,43,Female,vocational certificate,single,Northeastern,Corporate Employee,0.0,2079.86,0.0,0.0,2449.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.0,0.0,791.75,0.0,0.0,0.0,0.0,0.0,0.0,"This customer represents a 43-year-old single female corporate employee based in the Northeastern region, holding a vocational certificate and living independently without children. Her financial behavior reflects a focus on essential financial services, with a notable expenditure of 1,323 baht in this category, complemented by a smaller transaction of 791.75 baht in loans. She appears to prioritize practical financial management over discretionary spending, as there is no recorded activity in categories like shopping, home lifestyle, health and care, or leisure. This profile suggests a pragmatic and financially cautious individual, likely focused on maintaining stability and managing necessary financial obligations rather than indulging in lifestyle or luxury expenses."
58,0.0,71,Female,master's degree,single,Western,Professional,0.0,376.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.43,0.0,0.0,0.0,0.0,"This customer represents a 71-year-old single female professional based in the Western region, holding a master’s degree and living independently without children. Her profile suggests a highly educated individual who may be retired or semi-retired, given her professional background and current life stage. Her transactional history is minimal, with the only recorded spending being 480.43 baht on utilities, indicating a focus on essential living expenses rather than discretionary spending. This suggests a pragmatic and self-sufficient lifestyle, potentially with a preference for simplicity and financial conservatism. She may prioritize stability and routine over indulgence, making her a profile of interest for essential services or products tailored to independent seniors."
61,0.0,25,Male,others,single,Central,Corporate Employee,0.0,800.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.86,0.0,0.0,0.0,0.0,"This customer represents a 25-year-old single male corporate employee based in the Central region, with an unspecified educational background and no children. His transactional history indicates minimal financial activity, with spending exclusively in the ""Utility"" category, totaling 639.86 baht, and no recorded transactions in areas such as shopping, transport travel, or leisure. This suggests a pragmatic and possibly budget-conscious individual focused on essential living expenses. As a young professional, he may prioritize work and basic necessities over discretionary spending, reflecting a lifestyle centered around maintaining stability rather than indulgence. This profile aligns with someone in the early stages of their career, managing foundational responsibilities while potentially exploring opportunities for financial growth."
72,0.0,23,Male,high school,single,Eastern,Student,0.0,0.0,480.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,"This customer represents a 23-year-old single male student based in the Eastern region, with a high school education and no children. As a young adult likely navigating early adulthood and academic life, his transactional history reflects a focus on essential financial management and personal shopping, with expenditures of 500 baht in the Finance category and 500 baht in Shopping. He has not engaged in other categories such as Financial Services, Home Lifestyle, or Leisure, suggesting a pragmatic and budget-conscious lifestyle typical of a student. This profile indicates a customer who prioritizes basic financial needs and occasional personal purchases, potentially seeking value-driven options and minimalistic spending habits."
73,0.0,52,Male,bachelor's degree,married,Central,Corporate Employee,9585.0,1123.5,89.0,0.0,0.0,1170.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,9585.0,300.0,379.85,0.0,0.0,0.0,0.0,"This customer represents a 52-year-old married male corporate employee based in the Central region, holding a bachelor's degree and living without children. His transactional history suggests a practical and financially focused individual, with significant spending on loans (9,585 baht), indicating a possible investment or debt management priority. Moderate expenditures in finance (300 baht), shopping (300 baht), and utilities (379.85 baht) reflect a balanced approach to essential and discretionary spending, while no recorded transactions in categories like health and care, transport travel, or leisure suggest a reserved lifestyle with minimal indulgence in non-essential activities. This profile points to a financially responsible and career-oriented individual who prioritizes stability and practicality over recreational or lifestyle expenses."
83,0.0,29,Female,high school,single,Northeastern,Student,0.0,0.0,5589.36,3721.43,0.0,0.0,0.0,0.0,0.0,0.0,960.93,0.0,0.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0,"This customer represents a 29-year-old single female student based in the Northeastern region, with a high school education and no children. Her transactional history indicates a focus on financial management, with notable spending in the ""Finance"" category (960.93 baht) and moderate engagement in ""Shopping"" (641.0 baht), while showing no activity in other categories such as ""Home Lifestyle,"" ""Health and Care,"" or ""Transport Travel."" This profile suggests a young, budget-conscious individual likely prioritizing financial planning and essential purchases, possibly reflecting a transitional phase in life as she balances academic pursuits with limited discretionary spending. Her lifestyle appears minimalistic, with a focus on necessities rather than leisure or luxury."
