txn_catg,txn_subcatg,dpst_txn_amt_tot,dpst_txn_cnt,cust_id
null,null,null,null,1
null,null,null,null,2
null,null,null,null,3
null,null,null,null,4
null,null,null,null,5
finance,digital_wallet,2152.67,5,6
shopping,e_commerce,2152.67,5,6
shopping,convenience_store,1000,1,7
utility,phone,315,1,7
null,null,null,null,8
null,null,null,null,9
null,null,null,null,10
null,null,null,null,11
null,null,null,null,12
utility,gas_station,100,1,13
null,null,null,null,14
shopping,convenience_store,5000,1,15
utility,phone,1068.93,1,15
null,null,null,null,16
null,null,null,null,17
null,null,null,null,18
null,null,null,null,19
null,null,null,null,20
finance,digital_wallet,1000,1,21
null,null,null,null,22
finance,digital_wallet,1100,4,23
transportation,public_transit,89,3,23
null,null,null,null,24
null,null,null,null,25
loan,auto_loan,6430,1,26
medical,pharmacy,938,3,26
shopping,convenience_store,6915,2,26
null,null,null,null,27
null,null,null,null,28
null,null,null,null,29
null,null,null,null,30
null,null,null,null,31
null,null,null,null,32
finance,digital_wallet,70,1,33
finance,digital_wallet,6219.62,7,33
finance,digital_wallet,436,3,33
finance,payment_gateway,89.65,1,33
restaurant,food_delivery,463,3,33
shopping,e_commerce,70,1,33
shopping,e_commerce,6219.62,7,33
null,null,null,null,34
null,null,null,null,35
null,null,null,null,36
insurance,other_insurance,1323,1,37
loan,unsecured_loan,791.75,1,37
medical,hospital,5000,1,38
medical,private_hospital,5000,1,38
shopping,convenience_store,500,1,38
null,null,null,null,39
null,null,null,null,40
entertainment,movie_theater,560,1,41
finance,digital_wallet,460,2,41
shopping,e_commerce,460,2,41
null,null,null,null,42
null,null,null,null,43
null,null,null,null,44
finance,digital_wallet,6239,4,45
investment,securities_broker,3568.74,1,45
investment,security,3568.74,1,45
investment,tfex,3568.74,1,45
shopping,e_commerce,6239,4,45
utility,gas_station,800,2,46
null,null,null,null,47
null,null,null,null,48
null,null,null,null,49
utility,phone,533.93,1,50
null,null,null,null,51
shopping,grocery,919.5,3,52
utility,gas_station,245.3,2,52
utility,gas_station,579.3,4,52
utility,internet,426.61,1,52
utility,phone,533.93,1,53
null,null,null,null,54
null,null,null,null,55
null,null,null,null,56
finance,digital_wallet,1885,2,57
shopping,e_commerce,1885,2,57
utility,phone,480.43,1,58
null,null,null,null,59
null,null,null,null,60
utility,internet,639.86,1,61
null,null,null,null,62
null,null,null,null,63
null,null,null,null,64
null,null,null,null,65
null,null,null,null,66
null,null,null,null,67
loan,auto_loan,3426,1,68
utility,gas_station,200,1,68
null,null,null,null,69
null,null,null,null,70
null,null,null,null,71
finance,digital_wallet,500,3,72
shopping,e_commerce,500,3,72
finance,digital_wallet,300,1,73
loan,auto_loan,9585,1,73
shopping,e_commerce,300,1,73
utility,phone,379.85,1,73
finance,digital_wallet,1456.93,5,74
finance,digital_wallet,105,1,74
shopping,e_commerce,1456.93,5,74
shopping,e_commerce,105,1,74
null,null,null,null,75
utility,water,1263.38,1,76
null,null,null,null,77
shopping,e_commerce,114,1,78
null,null,null,null,79
null,null,null,null,80
null,null,null,null,81
null,null,null,null,82
finance,digital_wallet,641,2,83
finance,payment_gateway,319.93,1,83
shopping,e_commerce,641,2,83
utility,gas_station,100,1,84
restaurant,food_delivery,342.55,1,85
null,null,null,null,86
utility,gas_station,576,1,87
null,null,null,null,88
finance,digital_wallet,4538.93,2,89
loan,auto_loan,10908,1,89
shopping,e_commerce,4538.93,2,89
null,null,null,null,90
null,null,null,null,91
null,null,null,null,92
null,null,null,null,93
null,null,null,null,94
null,null,null,null,95
null,null,null,null,96
null,null,null,null,97
null,null,null,null,98
transportation,tollway_fee,280,1,99
null,null,null,null,100
null,null,null,null,101
null,null,null,null,102
null,null,null,null,103
null,null,null,null,104
null,null,null,null,105
entertainment,streaming_service,419,1,106
null,null,null,null,107
null,null,null,null,108
null,null,null,null,109
null,null,null,null,110
medical,pharmacy,6272,2,111
restaurant,food_delivery,763.42,2,111
transportation,public_transit,4500,1,111
null,null,null,null,112
null,null,null,null,113
null,null,null,null,114
null,null,null,null,115
null,null,null,null,116
null,null,null,null,117
restaurant,food_delivery,2920.5,11,118
null,null,null,null,119
null,null,null,null,120
null,null,null,null,121
null,null,null,null,122
null,null,null,null,123
null,null,null,null,124
null,null,null,null,125
null,null,null,null,126
finance,digital_wallet,304,2,127
null,null,null,null,128
null,null,null,null,129
loan,credit_card,2528,1,130
loan,credit_card,5120,1,130
loan,credit_card,4050,1,130
loan,unsecured_loan,9000,1,130
loan,unsecured_loan,2720,1,130
utility,internet,2173.43,2,130
utility,phone,2173.43,2,130
education,private_school,31310,13,131
shopping,convenience_store,13000,1,132
shopping,grocery,7490,1,132
null,null,null,null,133
loan,credit_card,5500,1,134
medical,hospital,18796,1,134
utility,internet,1539.07,1,134
finance,digital_wallet,1100,3,135
insurance,other_insurance,339,1,135
restaurant,food_delivery,6150,36,135
transportation,public_transit,394,11,135
utility,internet,1756.93,1,135
utility,phone,1756.93,1,135
finance,digital_wallet,1640.29,1,136
shopping,e_commerce,1640.29,1,136
utility,gas_station,200,1,136
null,null,null,null,137
null,null,null,null,138
null,null,null,null,139
null,null,null,null,140
null,null,null,null,141
null,null,null,null,142
null,null,null,null,143
null,null,null,null,144
insurance,insurance,4424.67,1,145
insurance,life_insurance,4424.67,1,145
insurance,life_insurance,4424.67,1,145
finance,digital_wallet,9258.35,3,146
home_and_living,home_expense,1127,2,146
loan,credit_card,9200,2,146
loan,unsecured_loan,2100,1,146
loan,unsecured_loan,705.06,1,146
medical,hospital,500,2,146
medical,public_hospital,500,2,146
shopping,e_commerce,9258.35,3,146
null,null,null,null,147
null,null,null,null,148
null,null,null,null,149
null,null,null,null,150
null,null,null,null,151
shopping,department_store,17600,4,152
utility,internet,1636.03,4,152
utility,internet,703.34,1,152
utility,phone,1636.03,4,152
null,null,null,null,153
finance,digital_wallet,1400,4,154
loan,auto_loan,15987,1,154
loan,credit_card,2500,1,154
loan,unsecured_loan,17900,1,154
shopping,department_store,2000,1,154
shopping,department_store,595,5,154
travel,hotel,395,2,154
utility,gas_station,595,5,154
null,null,null,null,155
null,null,null,null,156
null,null,null,null,157
null,null,null,null,158
null,null,null,null,159
null,null,null,null,160
null,null,null,null,161
home_and_living,home_expense,12627,1,162
loan,credit_card,133.43,1,162
loan,credit_card,5438.72,1,162
null,null,null,null,163
home_and_living,home_expense,670.21,1,164
medical,pharmacy,549,1,164
shopping,convenience_store,1600,3,165
utility,internet,373.43,1,165
utility,phone,373.43,1,165
null,null,null,null,166
null,null,null,null,167
null,null,null,null,168
null,null,null,null,169
null,null,null,null,170
null,null,null,null,171
null,null,null,null,172
null,null,null,null,173
loan,unsecured_loan,4000,1,174
null,null,null,null,175
null,null,null,null,176
null,null,null,null,177
null,null,null,null,178
null,null,null,null,179
null,null,null,null,180
shopping,grocery,12000,2,181
null,null,null,null,182
null,null,null,null,183
null,null,null,null,184
null,null,null,null,185
null,null,null,null,186
shopping,convenience_store,11915,3,187
utility,gas_station,1000,1,187
null,null,null,null,188
medical,hospital,2000,2,189
medical,hospital,500,1,189
medical,public_hospital,2000,2,189
medical,public_hospital,500,1,189
shopping,convenience_store,11000,1,189
utility,gas_station,300,1,189
null,null,null,null,190
null,null,null,null,191
finance,digital_wallet,237,2,192
shopping,e_commerce,237,2,192
utility,internet,269.64,1,193
utility,phone,269.64,1,193
utility,water,332.77,1,193
finance,digital_wallet,5900,14,194
loan,credit_card,2000,1,194
loan,credit_card,1404,1,194
utility,internet,2244.86,2,194
utility,phone,2244.86,2,194
utility,water,226.84,1,194
finance,digital_wallet,835,2,195
insurance,life_insurance,1643,1,195
loan,credit_card,9305,1,195
shopping,e_commerce,835,2,195
shopping,grocery,719.25,1,195
utility,internet,801.97,1,195
utility,phone,801.97,1,195
null,null,null,null,196
null,null,null,null,197
null,null,null,null,198
null,null,null,null,199
null,null,null,null,200
null,null,null,null,201
null,null,null,null,202
null,null,null,null,203
finance,digital_wallet,380,2,204
personal_care,fitness,40,1,204
shopping,e_commerce,380,2,204
shopping,grocery,149.96,1,204
utility,water,147.07,1,204
null,null,null,null,205
finance,payment_gateway,2022.86,1,206
home_and_living,home_expense,29884.85,1,206
medical,hospital,500,1,206
shopping,department_store,255,1,206
insurance,insurance,370,1,207
insurance,other_insurance,370,1,207
shopping,convenience_store,10000,1,207
utility,internet,2176.89,3,207
finance,digital_wallet,853,2,208
home_and_living,home_improvement,24201.67,1,208
transportation,logistic_service,666,2,208
null,null,null,null,209
null,null,null,null,210
finance,digital_wallet,200,2,211
utility,electricity,341.09,1,211
medical,hospital,4500,1,212
medical,private_hospital,4500,1,212
shopping,department_store,623.15,1,212
null,null,null,null,213
utility,internet,533.93,1,214
utility,phone,533.93,1,214
utility,phone,608.86,1,214
home_and_living,home_expense,365,1,215
shopping,convenience_store,1000,2,215
utility,internet,673.57,1,215
utility,phone,673.57,1,215
null,null,null,null,216
utility,internet,615.17,1,217
utility,internet,490.06,1,217
utility,phone,615.17,1,217
finance,digital_wallet,397,4,218
shopping,e_commerce,397,4,218
null,null,null,null,219
personal_care,cosmetics,299,1,220
null,null,null,null,221
null,null,null,null,222
shopping,convenience_store,4900,1,223
shopping,convenience_store,2000,1,223
shopping,grocery,1800,2,223
utility,internet,1324,1,223
utility,phone,1324,1,223
null,null,null,null,224
shopping,convenience_store,4000,2,225
utility,internet,534.46,1,225
utility,phone,1094.62,2,225
null,null,null,null,226
utility,gas_station,2000,1,227
null,null,null,null,228
finance,payment_gateway,180,1,229
shopping,convenience_store,900,1,229
shopping,grocery,2400,2,229
utility,gas_station,1020,1,229
utility,internet,346.5,1,229
utility,internet,426.93,1,229
insurance,insurance,490,1,230
insurance,other_insurance,490,1,230
shopping,convenience_store,5800,5,230
shopping,convenience_store,1900,2,230
shopping,convenience_store,5000,1,230
shopping,grocery,2000,1,230
utility,internet,631.3,2,230
utility,phone,480.43,1,230
null,null,null,null,231
null,null,null,null,232
null,null,null,null,233
null,null,null,null,234
loan,credit_card,4000,1,235
shopping,department_store,231,1,235
transportation,public_transit,50,1,235
null,null,null,null,236
null,null,null,null,237
null,null,null,null,238
loan,auto_loan,7960,1,239
shopping,convenience_store,900,2,239
utility,gas_station,460,1,239
utility,gas_station,500,1,239
utility,internet,212.93,1,239
utility,water,75.76,1,239
shopping,convenience_store,2015,2,240
null,null,null,null,241
null,null,null,null,242
null,null,null,null,243
null,null,null,null,244
finance,digital_wallet,4000,2,245
loan,unsecured_loan,6200,1,245
shopping,e_commerce,4000,2,245
utility,internet,373.96,1,245
utility,water,255,1,245
null,null,null,null,246
finance,digital_wallet,280.02,1,247
shopping,e_commerce,280.02,1,247
null,null,null,null,248
utility,internet,1000.9,3,249
utility,phone,1000.9,3,249
null,null,null,null,250
null,null,null,null,251
shopping,convenience_store,500,1,252
shopping,convenience_store,1000,1,252
loan,auto_loan,28572,1,253
utility,gas_station,5808.5,2,253
utility,gas_station,4450,2,253
null,null,null,null,254
null,null,null,null,255
null,null,null,null,256
insurance,life_insurance,24250,1,257
loan,auto_loan,66669,4,257
utility,internet,1389.93,1,257
utility,phone,1487.86,2,257
null,null,null,null,258
null,null,null,null,259
null,null,null,null,260
null,null,null,null,261
null,null,null,null,262
null,null,null,null,263
home_and_living,home_expense,1000,1,264
shopping,department_store,3000,1,264
null,null,null,null,265
null,null,null,null,266
finance,digital_wallet,16267.44,17,267
finance,payment_gateway,1034,1,267
shopping,e_commerce,16267.44,17,267
utility,water,207.33,1,267
null,null,null,null,268
entertainment,movie_theater,1200,1,269
loan,credit_card,6778,2,269
loan,unsecured_loan,2388,1,269
shopping,department_store,2000,1,269
shopping,grocery,300,1,269
