Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,Demog Summary
1.0,0.0,Female,bachelor's degree,married,4.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,11846.54,70.0,2.69,1.0,6.0,26.0,1.0,4.0,44.0,1.0,4.0,213070.0,241234.75,40,Central,Corporate Employee,2282,"This customer represents a mid-career professional female navigating the corporate world from the Central region. With a bachelor's degree shaping her career trajectory, she balances her professional ambitions with her role as a married mother to one child. Her life stage reflects a blend of stability and growth, as she manages responsibilities both at work and at home, embodying the dynamic intersection of personal and professional fulfillment."
0.0,1.0,Female,bachelor's degree,single,3.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.18,164.0,5.66,1.0,11.0,56.0,1.0,5.0,108.0,1.0,9.0,103128.0,113270.0,42,Central,Entrepreneur,737,"This customer represents an accomplished, mid-career female entrepreneur based in the Central region. With a bachelor's degree shaping her professional foundation, she demonstrates a strong commitment to personal and career growth. Currently single and without children, her lifestyle likely reflects a focus on business ventures and personal aspirations, positioning her in a dynamic phase of independence and professional ambition."
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,9000.69,55.0,3.06,1.0,8.0,9.0,1.0,2.0,46.0,1.0,6.0,15433.0,16961.0,31,Southern,Student,3418,"This individual is a young adult male pursuing academic or professional growth as a student in the Southern region. With a bachelor's degree already completed, he is likely focused on advancing his knowledge or career prospects. Being single and without children, his current lifestyle may prioritize personal development and exploration over family responsibilities."
1.0,1.0,Male,bachelor's degree,married,5.0,5.0,1.0,2.0,3.0,0.0,0.0,1.0,245.18,34.0,2.0,1.0,4.0,14.0,1.0,2.0,20.0,1.0,2.0,40900.0,41606.0,52,Central,Corporate Employee,1781,"This customer represents a mid-life male corporate professional residing in the Central region. With a bachelor's degree shaping his career trajectory, he balances the demands of his role with the responsibilities of family life. Married and raising one child, he likely prioritizes stability and long-term planning, reflecting a blend of professional ambition and personal commitment."
0.0,1.0,Male,bachelor's degree,married - registered,11.0,8.0,10.0,3.0,5.0,1.0,0.0,3.0,224275.37,38.0,2.24,1.0,9.0,12.0,1.0,3.0,26.0,1.0,7.0,428982.51,363477.2,53,Central,Corporate Employee,3419,"This individual embodies a seasoned professional in his early fifties, working as a corporate employee in the Central region. As a married man with no children, he likely enjoys a stable and focused lifestyle. Holding a bachelor's degree, he brings a solid educational foundation to his career, which may reflect a commitment to personal and professional growth. His life stage suggests a well-established routine, balancing the demands of work and home life in a way that aligns with his responsibilities and aspirations."
0.0,0.0,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,31,Central,Corporate Employee,1906,"This individual represents an early-career professional, a 31-year-old female working as a corporate employee in the Central region. With a bachelor's degree shaping her career trajectory, she is focused on personal and professional growth. Currently single and without children, her lifestyle reflects independence and flexibility, allowing her to prioritize career advancement and explore opportunities for self-development."
0.0,0.0,Male,bachelor's degree,single,3.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,8338.25,53.0,2.65,1.0,6.0,10.0,1.0,2.0,43.0,1.0,5.0,39161.25,36241.97,37,Northern,Corporate Employee,1992,"This individual is a mid-career male corporate professional residing in the Northern region. With a bachelor's degree shaping his educational foundation, he is well-positioned in his field and focused on personal and professional growth. Currently single and without children, his lifestyle reflects the flexibility and independence often associated with this stage of life."
0.0,0.0,Male,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,45,Central,Freelancer,1158,"This individual embodies a mid-career male freelancer residing in the Central region, navigating life as a single professional without children. With a bachelor's degree shaping his educational foundation, he likely values flexibility and independence in both his personal and professional pursuits. His lifestyle reflects the priorities of someone balancing career growth and personal fulfillment, unencumbered by familial responsibilities."
0.0,1.0,Male,high school,single,6.0,5.0,4.0,1.0,2.0,0.0,0.0,2.0,145245.85,14.0,1.4,1.0,3.0,4.0,1.0,2.0,10.0,1.0,2.0,216700.0,74920.0,49,Eastern,Entrepreneur,965,"This customer represents a mid-life male entrepreneur based in the Eastern region, navigating professional pursuits with the practical foundation of a high school education. As a single individual with no children, his lifestyle likely reflects a focus on personal and business growth, unencumbered by familial responsibilities."
0.0,Unknown,Female,others,divorce,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,60,Northern,Unemployed,691,"This individual is a mature, 60-year-old woman residing in the Northern region, navigating life independently after a divorce. With an educational background categorized as ""others,"" she brings a unique perspective shaped by diverse experiences. Currently unemployed, she may be exploring new opportunities or focusing on personal pursuits. Without children, her lifestyle likely allows for flexibility and self-directed priorities, reflecting a stage of life marked by resilience and adaptability."
